META; english/premier-league/stoke-v-west-ham; 2017-12-07 10:52:25 GMT+2; 2017-12-16 15:00; e70300-dr003
Stoke; ; ; ; ; 1; 21/20; 11/10; 1; ; ; ; 1; ; ; ; 1; 1; ; 23/20; ; ; ; ; 11/10; ; ; 20/21; ; 
Draw; ; ; ; ; 23/10; 12/5; 23/10; 12/5; ; ; ; 23/10; ; ; ; 21/10; 23/10; ; 12/5; ; ; ; ; 23/10; ; ; 21/10; ; 
West Ham; ; ; ; ; 3; 14/5; 11/4; 11/4; ; ; ; 14/5; ; ; ; 13/5; 3; ; 29/10; ; ; ; ; 27/10; ; ; 13/5; ; 
META; english/premier-league/stoke-v-west-ham; 2017-12-08 12:10:39 GMT+2; 2017-12-16 15:00; e70300-dr003
Stoke; ; ; ; ; 1; 21/20; 11/10; 1; ; ; ; 1; ; ; ; 21/20; 1; ; 23/20; ; ; 11/10; ; 21/20; ; ; 20/21; ; 
Draw; ; ; ; ; 23/10; 12/5; 23/10; 12/5; ; ; ; 23/10; ; ; ; 21/10; 23/10; ; 12/5; ; ; 23/10; ; 9/4; ; ; 21/10; ; 
West Ham; ; ; ; ; 3; 14/5; 11/4; 11/4; ; ; ; 14/5; ; ; ; 13/5; 3; ; 29/10; ; ; 14/5; ; 11/4; ; ; 2; ; 
META; english/premier-league/stoke-v-west-ham; 2017-12-11 18:11:15 GMT+2; 2017-12-16 15:00; e70300-dr003
Stoke; 21/20; 11/10; 15/13; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; ; 6/5; 11/10; 11/10; 11/10; 11/10; 59/50; 12/11; ; 11/10; 23/20; 11/10; 15/13; ; 21/20; ; 23/20
Draw; 23/10; 23/10; 9/4; 23/10; 9/4; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 23/10; ; 9/4; 9/4; 9/4; 9/4; 23/10; 49/20; 12/5; ; 12/5; 12/5; 9/4; 40/17; ; 21/10; ; 23/10
West Ham; 13/5; 5/2; 5/2; 12/5; 5/2; 11/4; 5/2; 13/5; 13/5; 12/5; 11/4; 13/5; ; 5/2; 11/4; 12/5; 5/2; 28/11; 11/4; 9/4; ; 13/5; 27/10; 27/10; 13/5; ; 21/10; ; 27/10
META; english/premier-league/stoke-v-west-ham; 2017-12-12 10:55:49 GMT+2; 2017-12-16 15:00; e70300-dr003
Stoke; 21/20; 11/10; 15/13; 23/20; 15/13; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 11/10; ; 6/5; 11/10; 11/10; 15/13; 15/13; 59/50; 12/11; ; 11/10; 23/20; 11/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 23/10; ; 9/4; 9/4; 9/4; 23/10; 23/10; 123/50; 12/5; ; 12/5; 12/5; 9/4; 23/10; ; 23/10; ; 
West Ham; 13/5; 12/5; 5/2; 12/5; 5/2; 11/4; 5/2; 13/5; 13/5; 12/5; 11/4; 13/5; ; 5/2; 11/4; 12/5; 5/2; 28/11; 137/50; 9/4; ; 13/5; 27/10; 27/10; 13/5; ; 9/4; ; 
