META; english/premier-league/chelsea-v-watford; 2017-10-18 11:59:12 GMT+3; 2017-10-21 12:30; e70300-dr003
Chelsea; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 1/3; 3/10; 1/3; 1/4; 3/10; 30/100; 3/10; 5/18; 2/7; 1/3; 1/3; 2/7; 1/3; 1/3; 2/7; 2/7; ; 3/10; 3/10; 3/10
Draw; 9/2; 4; 4; 4; 9/2; 9/2; 4; 9/2; 9/2; 21/5; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 23/5; 22/5; 22/5; 9/2; 9/2; 17/4; 50/11; ; 9/2; 23/5; 23/5
Watford; 17/2; 8; 9; 10; 9; 10; 9; 10; 11; 9; 9; 17/2; 12; 10; 9; 8; 9; 11; 21/2; 17/2; 21/2; 9; 10; 10; 11; ; 54/5; 48/5; 57/5
