META; english/premier-league/man-city-v-liverpool; 2017-08-16 20:02:24 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 4/5; ; ; 17/20; ; ; ; 4/5; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 12/5; ; ; 14/5; ; ; ; 13/5; ; ; ; ; 
Liverpool; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; 7/2; ; ; 15/4; ; ; ; 19/5; ; ; ; ; 
META; english/premier-league/man-city-v-liverpool; 2017-08-25 20:12:57 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; 4/5; 8/11; ; ; ; 4/5; 4/5; 4/6; 3/4; 4/5; 3/4; 4/5; 3/4; 4/5; 5/6; 5/6; 4/5; 8/11; 4/5; 17/20; 4/5; 3/4; ; 4/5; 4/5; ; 8/11; ; 
Draw; 11/4; 11/4; ; ; ; 12/5; 29/10; 11/4; 45/17; 27/10; 13/5; 14/5; 29/10; 14/5; 14/5; 29/10; 12/5; 13/5; 27/10; 72/25; 29/10; 45/17; ; 3; 11/4; ; 13/5; ; 
Liverpool; 16/5; 7/2; ; ; ; 10/3; 7/2; 7/2; 15/4; 3; 29/10; 3; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; 13/4; 18/5; 27/10; 37/10; ; 10/3; 16/5; ; 7/2; ; 
META; english/premier-league/man-city-v-liverpool; 2017-08-28 14:18:55 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; 5/6; 5/6; 19/20; 5/6; 9/10; 17/20; 19/20; 5/6; 19/20; 13/15; 17/20; 20/21; 10/11; 10/11; 10/11; 11/13; 5/6; 20/21; 10/11; 20/21; 11/12; 19/20; 5/6; 10/11; 10/11; ; 10/11; ; 
Draw; 11/4; 11/4; 11/4; 14/5; 5/2; 14/5; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 27/10; 11/4; 14/5; 13/5; 13/5; 11/4; 27/10; 59/20; 37/13; 11/4; 3; 14/5; 13/5; ; 11/4; ; 
Liverpool; 16/5; 3; 27/10; 3; 11/4; 3; 29/10; 3; 11/4; 13/5; 5/2; 11/4; 11/4; 29/10; 11/4; 11/4; 31/10; 11/4; 11/4; 3; 40/17; 11/4; 14/5; 14/5; 14/5; ; 14/5; ; 
META; english/premier-league/man-city-v-liverpool; 2017-09-04 20:13:32 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; 17/20; 17/20; 17/20; 5/6; 9/10; 17/20; 20/23; 17/20; 11/13; 5/6; 17/20; 5/6; 17/20; 17/20; 5/6; 4/5; 5/6; 5/6; 5/6; 87/100; 5/6; 11/13; 8/11; 5/6; 20/23; ; 5/6; ; 5/6
Draw; 14/5; 3; 29/10; 14/5; 5/2; 3; 3; 13/5; 14/5; 14/5; 29/10; 3; 57/20; 3; 11/4; 45/17; 27/10; 14/5; 14/5; 59/20; 29/10; 14/5; 3; 3; 11/4; ; 14/5; ; 3
Liverpool; 14/5; 11/4; 29/10; 3; 11/4; 3; 31/10; 31/10; 16/5; 14/5; 29/10; 14/5; 57/20; 3; 16/5; 11/4; 3; 3; 31/10; 17/5; 13/5; 16/5; 10/3; 14/5; 3; ; 3; ; 10/3
META; english/premier-league/man-city-v-liverpool; 2017-09-07 19:14:19 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; 5/6; 4/5; 5/6; 17/20; 17/20; 17/20; 20/23; 17/20; 11/13; 4/5; 4/5; 20/23; 5/6; 4/5; 5/6; 5/6; 11/13; 9/11; 5/6; 22/25; 5/6; 9/11; 8/11; 5/6; 17/20; ; 5/6; 5/6; 5/6
Draw ; 3; 3; 29/10; 11/4; 11/4; 14/5; 3; 13/5; 56/19; 14/5; 29/10; 14/5; 3; 3; 11/4; 29/10; 14/5; 14/5; 37/13; 61/20; 3; 29/10; 3; 3; 14/5; ; 14/5; 14/5; 3
Liverpool; 11/4; 3; 3; 3; 3; 3; 16/5; 31/10; 57/17; 3; 3; 3; 3; 3; 16/5; 3; 3; 13/4; 16/5; 13/4; 58/19; 13/4; 10/3; 3; 3; ; 3; 3; 3
META; english/premier-league/man-city-v-liverpool; 2017-09-08 10:14:57 GMT+3; 2017-09-09 12:30; e70300-dr003
Man City; 17/20; 4/5; 5/6; 17/20; 17/20; 17/20; 20/23; 17/20; 11/13; 4/5; 5/6; 20/23; 5/6; 17/20; 17/20; 5/6; 11/13; 9/11; 5/6; 22/25; 11/13; 9/11; 8/11; 5/6; 17/20; ; 5/6; 5/6; 9/10
Draw ; 3; 14/5; 29/10; 11/4; 11/4; 14/5; 3; 13/5; 56/19; 29/10; 29/10; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 37/13; 149/50; 3; 29/10; 3; 3; 14/5; ; 14/5; 14/5; 3
Liverpool; 16/5; 3; 29/10; 3; 16/5; 3; 16/5; 31/10; 57/17; 29/10; 3; 3; 3; 3; 16/5; 31/10; 3; 13/4; 16/5; 33/10; 3; 13/4; 10/3; 3; 3; ; 3; 3; 3
