META; english/premier-league/crystal-palace-v-man-city; 2017-12-20 12:11:52 GMT+2; 2017-12-31 12:00; e70300-dr003
Man City; ; ; ; ; ; 3/10; 2/9; 1/4; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; 1/4; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; ; 9/2; 11/2; 9/2; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; 11/2; ; 5; ; ; ; ; 
Crystal Palace; ; ; ; ; ; 12; 11; 9; ; ; ; ; ; ; ; 11; ; ; 12; ; ; 11; ; 12; ; ; ; ; 
META; english/premier-league/crystal-palace-v-man-city; 2017-12-26 12:42:25 GMT+2; 2017-12-31 12:00; e70300-dr003
Man City; 2/9; 2/7; 1/4; 2/7; 29/ 100; 1/5; 2/9; 1/4; 2/9; 1/4; 1/4; 1/4; ; 2/7; 1/4; 1/4; 2/9; 3/13; 2/9; 4/17; 2/9; 1/4; 1/4; 2/9; 4/17; ; 1/4; ; 
Draw; 21/4; 19/4; 5; 9/2; 57/10; 5; 11/2; 9/2; 21/4; 24/5; 11/2; 9/2; ; 19/4; 11/2; 5; 23/4; 21/4; 23/4; 5; 21/4; 11/2; 11/2; 21/4; 53/10; ; 23/5; ; 
Crystal Palace; 10; 17/2; 11; 9; 10; 12; 10; 9; 12; 11; 11; 10; ; 9; 9; 8; 21/2; 39/4; 21/2; 41/5; 11; 9; 11; 11; 39/4; ; 1/20; ; 
META; english/premier-league/crystal-palace-v-man-city; 2017-12-31 12:11:06 GMT+2; 2017-12-31 12:00; e70300-dr003
Man City; 2/7; 2/7; 5/18; 1/4; 29/ 100; 2/7; 2/7; 2/7; 5/18; 2/7; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 5/19; 3/11; 5/19; 5/18; 5/19; 1/4; 2/7; 2/7; 5/18; ; 1/4; 1/4; 3/10
Draw; 11/2; 5; 24/5; 5; 27/5; 11/2; 5; 5; 11/2; 5; 11/2; 11/2; 5; 5; 5; 5; 21/4; 96/19; 21/4; 26/5; 27/5; 11/2; 21/4; 5; 51/10; ; 5; 26/5; 26/5
Crystal Palace; 10; 10; 10; 11; 11; 10; 10; 9; 21/2; 11; 10; 11; 10; 11; 11; 10; 19/2; 39/4; 19/2; 44/5; 10; 17/2; 11; 9; 10; ; 57/5; 11; 57/5
META; english/premier-league/crystal-palace-v-man-city; 2017-12-31 12:29:13 GMT+2; 2017-12-31 12:00; e70300-dr003
Man City; 2/7; 2/7; 5/18; 1/4; 29/ 100; 2/7; 2/7; 2/7; 5/18; 2/7; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 5/19; 3/11; 5/19; 5/18; 5/19; 1/4; 2/7; 2/7; 5/18; ; 1/4; 1/4; 3/10
Draw; 11/2; 5; 24/5; 5; 27/5; 11/2; 5; 5; 11/2; 24/5; 11/2; 11/2; 5; 5; 5; 5; 21/4; 96/19; 21/4; 26/5; 27/5; 11/2; 21/4; 5; 51/10; ; 5; 26/5; 26/5
Crystal Palace; 10; 10; 10; 11; 11; 10; 10; 9; 21/2; 11; 10; 11; 10; 11; 11; 10; 19/2; 39/4; 19/2; 44/5; 10; 17/2; 11; 9; 10; ; 57/5; 11; 57/5
