META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2016-07-17 08:17:37 GMT+3; 2016-08-19 21:00; e70300-dr003
Deportivo La Coruna; 21/20; ; ; ; ; ; 21/20; ; ; 1; 19/20; ; 1; ; 21/20; 11/10; ; 1; 21/20; 1; 21/20; ; ; ; 1/100; ; 
Draw; 23/10; ; ; ; ; ; 12/5; ; ; 9/4; 5/2; ; 11/5; ; 12/5; 12/5; ; 9/4; 23/10; 9/4; 9/4; ; ; ; 1/100; ; 
Eibar; 13/5; ; ; ; ; ; 11/4; ; ; 3; 5/2; ; 11/5; ; 5/2; 13/5; ; 3; 13/5; 3; 28/11; ; ; ; 1/100; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2016-07-17 12:17:49 GMT+3; 2016-08-19 21:00; e70300-dr003
Deportivo La Coruna; 21/20; ; ; ; ; ; 21/20; ; ; 1; 19/20; ; 1; ; 21/20; 11/10; ; 1; 21/20; 1; 21/20; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 12/5; ; ; 9/4; 5/2; ; 11/5; ; 12/5; 12/5; ; 9/4; 23/10; 9/4; 9/4; ; ; ; ; ; 
Eibar; 13/5; ; ; ; ; ; 11/4; ; ; 3; 5/2; ; 11/5; ; 5/2; 13/5; ; 3; 13/5; 3; 28/11; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2016-07-17 16:17:58 GMT+3; 2016-08-19 21:00; e70300-dr003
Deportivo La Coruna; 21/20; ; ; ; ; 21/20; 21/20; ; ; 1; 19/20; ; 1; ; 11/10; 11/10; ; 1; 21/20; 1; 21/20; 13/12; ; ; ; ; 
Draw; 23/10; ; ; ; ; 12/5; 12/5; ; ; 9/4; 5/2; ; 11/5; ; 12/5; 12/5; ; 9/4; 23/10; 9/4; 9/4; 5/2; ; ; ; ; 
Eibar; 13/5; ; ; ; ; 5/2; 11/4; ; ; 3; 5/2; ; 11/5; ; 5/2; 13/5; ; 3; 13/5; 3; 28/11; 3; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2016-07-17 20:17:54 GMT+3; 2016-08-19 21:00; e70300-dr003
Deportivo La Coruna; 21/20; ; ; ; ; 21/20; 21/20; ; ; 1; 19/20; ; 1; ; 11/10; 11/10; ; 1; 21/20; 1; 21/20; 13/12; ; ; 1/100; ; 
Draw; 23/10; ; ; ; ; 12/5; 12/5; ; ; 9/4; 5/2; ; 11/5; ; 12/5; 12/5; ; 9/4; 23/10; 9/4; 23/10; 5/2; ; ; 1/100; ; 
Eibar; 13/5; ; ; ; ; 5/2; 11/4; ; ; 3; 5/2; ; 11/5; ; 5/2; 13/5; ; 3; 13/5; 3; 5/2; 3; ; ; 1/100; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2016-07-18 00:17:52 GMT+3; 2016-08-19 21:00; e70300-dr003
Deportivo La Coruna; 21/20; ; ; ; ; 21/20; 21/20; ; ; 1; 21/20; ; 1; ; 11/10; 11/10; ; 1; 21/20; 1; 21/20; 13/12; ; ; ; ; 
