META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-02 16:19:40 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-02 20:19:23 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 00:19:15 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 04:19:09 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 08:19:26 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 12:19:10 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 16:19:52 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-03 20:19:40 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-04 00:19:15 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-04 04:19:27 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-04 08:19:45 GMT+2; 2017-01-20 19:45; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 49/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 3; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-deportivo-la-coruna; 2017-01-04 12:19:40 GMT+2; 2017-01-20 19:45; e70300-dr003
