META; spain/la-liga-primera/las-palmas-v-gijon; 2016-12-11 16:18:48 GMT+2; 2017-01-08 17:30; e70300-dr003
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 77/100; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 68/25; ; ; ; ; ; ; 
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-gijon; 2016-12-11 20:18:59 GMT+2; 2017-01-08 17:30; e70300-dr003
Las Palmas; ; ; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; 9/13; ; 4/6; ; 9/13; 77/100; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; 11/4; ; 11/4; ; 11/4; 68/25; ; ; ; ; ; ; 
Gijon; ; ; ; ; ; ; 19/5; ; ; ; ; ; ; ; ; ; 37/10; ; 15/4; ; 37/10; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-gijon; 2016-12-12 00:18:04 GMT+2; 2017-01-08 17:30; e70300-dr003
Las Palmas; ; ; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; 5/6; ; 3/4; ; 5/6; 77/100; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 13/5; ; 27/10; ; 13/5; 68/25; ; ; ; ; ; ; 
Gijon; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 56/19; ; 33/10; ; 56/19; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-gijon; 2016-12-12 04:18:10 GMT+2; 2017-01-08 17:30; e70300-dr003
Las Palmas; 4/5; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; 5/6; 5/6; ; 3/4; ; 5/6; 77/100; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; 68/25; ; ; ; ; ; ; 
Gijon; 10/3; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; 10/3; 56/19; ; 33/10; ; 56/19; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/las-palmas-v-gijon; 2016-12-12 08:18:10 GMT+2; 2017-01-08 17:30; e70300-dr003
Las Palmas; 4/5; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; 5/6; 5/6; ; 3/4; ; 5/6; 77/100; ; ; ; ; ; ; 
