META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 00:19:48 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 04:19:47 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 08:19:54 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 12:20:25 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 16:20:00 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-05 20:20:22 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-06 00:19:56 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-06 04:19:51 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-06 08:19:46 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-deportivo-la-coruna; 2016-12-06 12:20:19 GMT+2; 2017-01-06 19:45; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 9/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; ; 
