META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 00:18:08 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 6/5; ; 15/13; ; 6/5; 34/25; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 28/13; ; 23/10; ; 28/13; 57/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 04:18:15 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 6/5; ; 15/13; ; 6/5; 34/25; ; ; ; ; ; ; 
Osasuna; 9/4; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 28/13; ; 23/10; ; 28/13; 57/25; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 08:18:15 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 6/5; ; 15/13; ; 6/5; 34/25; ; ; ; ; ; ; 
Osasuna; 9/4; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 28/13; ; 23/10; ; 28/13; 57/25; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 12:10:59 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; 11/10; ; ; 23/20; ; 6/5; ; ; ; ; ; 23/20; ; 6/5; ; 15/13; ; 6/5; 34/25; ; ; ; ; ; ; 
Draw; 23/10; ; ; 5/2; ; ; 12/5; ; 23/10; ; ; ; ; ; 12/5; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
Osasuna; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; ; ; ; ; ; 12/5; ; 28/13; ; 23/10; ; 28/13; 57/25; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 16:19:32 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; 11/10; ; ; 23/20; ; 6/5; ; 11/10; ; ; ; 23/20; ; 6/5; ; 15/13; ; 6/5; 13/10; ; ; ; ; ; ; 
Draw; 23/10; ; ; 5/2; ; ; 12/5; ; 23/10; ; 11/5; ; ; ; 12/5; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
Osasuna; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; ; 12/5; ; ; ; 12/5; ; 28/13; ; 23/10; ; 28/13; 121/50; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-12 20:19:40 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; 11/10; ; ; 23/20; ; 6/5; ; 11/10; ; ; ; 23/20; ; 6/5; ; 15/13; ; 6/5; 13/10; ; ; ; ; ; ; 
Draw; 23/10; ; ; 5/2; ; ; 12/5; ; 23/10; ; 11/5; ; ; ; 12/5; ; 23/10; ; 23/10; ; 23/10; 62/25; ; ; ; ; ; ; 
Osasuna; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; ; 12/5; ; ; ; 12/5; ; 28/13; ; 23/10; ; 28/13; 121/50; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-13 00:19:06 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; 23/20; ; ; 23/20; ; 6/5; ; 11/10; ; ; ; 23/20; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 13/10; 21/20; 6/5; ; ; ; ; 
Draw; 23/10; ; ; 11/5; ; ; 12/5; ; 23/10; ; 11/5; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 62/25; 23/10; 23/10; ; ; ; ; 
Osasuna; 9/4; ; ; 13/5; ; ; 5/2; ; 23/10; ; 12/5; ; ; ; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 11/5; 121/50; 23/10; 23/10; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-valencia; 2016-12-13 04:19:09 GMT+2; 2017-01-09 19:45; e70300-dr003
Valencia; 6/5; ; ; 23/20; ; ; 23/20; ; 6/5; ; 11/10; ; ; ; 23/20; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 13/10; 21/20; 6/5; ; ; ; ; 
