META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 00:18:50 GMT+2; 2017-04-05 11:00; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 04:18:48 GMT+2; 2017-04-05 11:00; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 08:18:45 GMT+2; 2017-04-05 11:00; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 12:20:00 GMT+2; 2017-04-05 11:00; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 00:18:50 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
