META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-17 08:17:51 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; ; 1/5; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 1/4; ; 1/5; 3/19; 1/5; 2/9; ; ; ; 1/100; ; 
Draw; 5; ; ; ; ; ; 21/4; ; ; 5; 9/2; ; 9/2; ; 24/5; 9/2; ; 5; 11/2; 5; 79/17; ; ; ; 1/100; ; 
Alaves; 12; ; ; ; ; ; 16; ; ; 15; 10; ; 12; ; 16; 14; ; 15; 37/2; 15; 49/4; ; ; ; 1/100; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-17 12:18:02 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; ; 1/5; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 1/4; ; 1/5; 3/19; 1/5; 3/14; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; 21/4; ; ; 5; 9/2; ; 9/2; ; 24/5; 9/2; ; 5; 11/2; 5; 79/17; ; ; ; ; ; 
Alaves; 12; ; ; ; ; ; 16; ; ; 15; 10; ; 12; ; 16; 14; ; 15; 37/2; 15; 49/4; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-17 16:18:12 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 1/5; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 1/4; ; 1/5; 3/19; 1/5; 3/14; 1/4; ; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 21/4; ; ; 5; 9/2; ; 9/2; ; 24/5; 9/2; ; 5; 11/2; 5; 79/17; 28/5; ; ; ; ; 
Alaves; 12; ; ; ; ; 12; 16; ; ; 15; 10; ; 12; ; 16; 14; ; 15; 37/2; 15; 49/4; 15; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-17 20:18:07 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 1/4; ; 1/5; 3/19; 1/5; 2/9; 1/4; ; ; 1/100; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 9/2; ; 9/2; ; 24/5; 9/2; ; 5; 11/2; 5; 79/17; 28/5; ; ; 1/100; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 10; ; 12; ; 16; 14; ; 15; 37/2; 15; 12; 15; ; ; 1/100; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 00:18:05 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 1/4; ; 1/6; ; 2/9; 1/4; ; 1/5; 3/19; 1/5; 2/9; 1/4; ; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 9/2; ; 9/2; ; 24/5; 9/2; ; 5; 11/2; 5; 79/17; 28/5; ; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 12; 15; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 04:18:04 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 1/4; ; 1/6; ; ; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; ; ; 1/100; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 19/4; ; 9/2; ; ; 5; ; 5; 11/2; 5; 49/10; 28/5; ; ; 1/100; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 14; ; 12; ; ; 14; ; 15; 37/2; 15; 51/4; 15; ; ; 1/100; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 08:17:58 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 1/4; ; 1/6; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; ; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; ; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 14; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 12:29:33 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; 9/2; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; 10; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 16:18:31 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; ; ; 1/5; 2/9; ; 1/6; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; ; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; 9/2; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; ; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; 10; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-18 20:18:05 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; 2/9; ; 1/5; 2/9; ; 1/4; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; 9/2; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; 9/2; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; 12; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; 10; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-19 00:18:00 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; 2/9; ; 1/5; 2/9; ; 1/4; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; 9/2; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; 9/2; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; 12; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; 10; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-19 04:18:06 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; 2/9; ; 1/5; 2/9; ; 1/4; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
Draw; 5; ; ; ; ; 19/4; 5; 9/2; ; 5; 19/4; ; 9/2; ; 24/5; 5; ; 5; 11/2; 5; 49/10; 28/5; 9/2; ; ; ; 
Alaves; 12; ; ; ; ; 12; 14; 12; ; 15; 12; ; 12; ; 16; 14; ; 15; 37/2; 15; 51/4; 15; 10; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2016-07-19 08:18:07 GMT+3; 2016-08-21 21:15; e70300-dr003
Atletico Madrid; 2/9; ; ; ; ; 2/9; 2/9; 2/9; ; 1/5; 2/9; ; 1/4; ; 2/9; 2/9; ; 1/5; 3/19; 1/5; 1/5; 1/4; 3/14; ; ; ; 
