META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 00:20:16 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 10/11; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 19/20; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 12/5; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 9/4; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 17/5; ; 3; 10/3; 3; ; 16/5; ; 10/3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 20/7; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 04:20:56 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 10/11; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 19/20; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 12/5; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 9/4; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 17/5; ; 3; 10/3; 3; ; 16/5; ; 10/3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 20/7; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 08:20:27 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; ; 10/11; ; 9/10; ; 10/11; 19/20; 10/11; 1; 19/20; 1; 10/11; 103/100; 8/9; 1; ; ; ; ; 
