META; spain/la-liga-primera/osasuna-v-gijon; 2017-04-10 16:39:08 GMT+3; 2017-04-22 17:30; e70300-dr003
Osasuna; 13/10; ; 7/5; ; ; 7/5; 11/8; ; 7/5; 13/10; 27/20; 13/10; 13/10; ; 7/5; 11/8; 5/4; 16/11; ; 5/4; 36/25; 13/10; ; ; ; ; 9/10; ; 
Gijon; 11/5; ; 2; ; ; 41/20; 2; ; 2; 2; 19/10; 21/10; 2; ; 2; 2; 2; 2; ; 2; 12/5; 9/5; ; ; ; ; 13/8; ; 
Draw; 21/10; ; 23/10; ; ; 12/5; 12/5; ; 23/10; 23/10; 11/5; 23/10; 12/5; ; 23/10; 12/5; 9/4; 2; ; 9/4; 111/50; 27/11; ; ; ; ; 15/8; ; 
META; spain/la-liga-primera/osasuna-v-gijon; 2017-04-11 12:53:24 GMT+3; 2017-04-22 17:30; e70300-dr003
Osasuna; 13/10; ; 29/20; ; ; 7/5; 29/20; ; 7/5; 13/10; 27/20; 7/5; 13/10; 7/5; 7/5; 11/8; 5/4; 16/11; 13/10; 5/4; 36/25; 23/18; 13/10; ; 13/10; ; 5/4; ; 
Gijon; 11/5; ; 39/20; ; ; 41/20; 19/10; ; 2; 2; 15/8; 2; 2; 19/10; 2; 11/5; 2; 2; 2; 2; 12/5; 28/15; 2; ; 2; ; 9/5; ; 
Draw; 21/10; ; 23/10; ; ; 12/5; 12/5; ; 23/10; 23/10; 11/5; 11/5; 12/5; 12/5; 23/10; 23/10; 23/10; 2; 12/5; 23/10; 111/50; 12/5; 12/5; ; 12/5; ; 21/10; ; 
META; spain/la-liga-primera/osasuna-v-gijon; 2017-04-12 12:24:06 GMT+3; 2017-04-22 17:30; e70300-dr003
Osasuna; 6/4; ; 31/20; ; ; 8/5; 6/4; ; 6/4; 6/4; 6/4; 8/5; 29/20; 6/4; 6/4; 17/11; 16/11; 16/11; 7/5; 16/11; 83/50; 6/4; 16/11; ; 16/11; ; 7/5; ; 
Gijon; 19/10; ; 9/5; ; ; 20/11; 9/5; ; 9/5; 7/4; 17/10; 7/4; 9/5; 7/4; 15/8; 15/8; 17/10; 2; 9/5; 17/10; 51/25; 11/7; 9/5; ; 9/5; ; 13/8; ; 
Draw; 21/10; ; 23/10; ; ; 12/5; 12/5; ; 23/10; 12/5; 11/5; 11/5; 12/5; 12/5; 23/10; 23/10; 23/10; 2; 12/5; 23/10; 111/50; 12/5; 12/5; ; 12/5; ; 21/10; ; 
META; spain/la-liga-primera/osasuna-v-gijon; 2017-04-18 14:19:56 GMT+3; 2017-04-22 17:30; e70300-dr003
Osasuna; 13/8; 6/4; 31/20; 8/5; 8/5; 5/3; 31/20; 11/8; 6/4; 6/4; 6/4; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 28/17; 8/5; 17/11; 43/25; 14/9; 8/5; 8/5; 8/5; ; 6/4; 6/4; 13/8
Gijon; 9/5; 17/10; 17/10; 13/8; 7/4; 9/5; 7/4; 13/8; 7/4; 13/8; 13/8; 17/10; 17/10; 17/10; 13/8; 7/4; 17/10; 17/10; 13/8; 17/10; 173/100; 7/4; 5/3; 7/4; 17/10; ; 13/8; 13/8; 7/4
Draw; 21/10; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 12/5; 23/10; 5/2; 23/10; 40/17; 21/10; 12/5; 40/17; 51/20; 40/17; 12/5; 23/10; 27/11; ; 12/5; 12/5; 5/2
META; spain/la-liga-primera/osasuna-v-gijon; 2017-04-19 16:47:37 GMT+3; 2017-04-22 17:30; e70300-dr003
Osasuna; 6/4; 7/5; 6/4; 8/5; 6/4; 8/5; 31/20; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 6/4; 17/11; 8/5; 6/4; 42/25; 53/35; 8/5; 6/4; 8/5; ; 6/4; 6/4; 6/4
Gijon; 19/10; 7/4; 7/4; 13/8; 9/5; 37/20; 17/10; 13/8; 7/4; 7/4; 7/4; 17/10; 17/10; 7/4; 7/4; 9/5; 7/4; 7/4; 13/8; 7/4; 7/4; 30/17; 5/3; 9/5; 17/10; ; 7/4; 7/4; 9/5
Draw; 21/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 23/10; 12/5; 12/5; 5/2; 49/20; 23/10; 5/2; 23/10; 12/5; 11/5; 12/5; 12/5; 13/5; 27/11; 12/5; 23/10; 27/11; ; 5/2; 5/2; 5/2
