META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-20 20:20:39 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 28/29; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 27/11; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; 7/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 00:19:55 GMT+2; 2016-12-04 17:30; e70300-dr003
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 08:20:17 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 21/20; 1; ; 21/20; 1; ; ; 1; ; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 19/20; 28/29; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 29/10; ; 14/5; 14/5; ; ; 57/20; ; 13/5; 3; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 12:20:25 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 21/20; 1; ; 21/20; 1; ; ; 1; ; 21/20; 1; 1; 21/20; 19/20; 21/20; 1; 28/29; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 29/10; ; 14/5; 14/5; ; ; 57/20; ; 13/5; 3; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 16:21:09 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 21/20; 1; ; 21/20; 1; ; ; 1; ; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 19/20; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 23/10; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 11/4; ; ; 14/5; 29/10; ; 14/5; 14/5; ; ; 57/20; ; 13/5; 3; 11/4; 11/4; 29/10; 11/4; 11/4; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-22 20:20:48 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 8/11; ; 
Draw; 23/10; ; 9/4; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; ; ; 27/10; 11/4; ; 14/5; 13/5; ; ; 11/4; ; 13/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 00:20:09 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; ; ; 5/2; 12/5; ; 12/5; 23/10; ; ; 47/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; ; ; 27/10; 11/4; ; 14/5; 13/5; ; ; 11/4; ; 13/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 04:20:05 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; ; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; ; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 08:19:38 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; ; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; ; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 12:19:57 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; ; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; ; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; ; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 16:19:50 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-23 20:19:52 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 97/100; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 7/2; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 00:19:16 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 04:19:02 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 23/10; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
