META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 00:19:58 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 04:19:54 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 08:19:48 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 12:20:24 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 16:21:21 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-06 20:20:45 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 00:20:00 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 04:19:42 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 08:19:38 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 12:20:27 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 3/40; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 33; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 16:20:34 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-07 20:20:23 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-08 00:19:30 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-08 04:19:33 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-08 08:19:20 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-08 12:19:43 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; ; 17; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; 28; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-granada; 2016-12-08 16:20:22 GMT+2; 2017-01-07 12:00; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; ; 2/25; ; ; ; ; ; ; 
