META; spain/la-liga-primera/sevilla-v-espanyol; 2016-07-17 08:17:45 GMT+3; 2016-08-20 21:15; e70300-dr003
Sevilla; 1/2; ; ; ; ; ; 8/15; ; ; 11/21; 1/2; ; 1/2; ; 8/15; 11/20; ; 11/21; 6/11; 1/2; 8/15; ; ; ; 1/100; ; 
Draw; 3; ; ; ; ; ; 10/3; ; ; 7/2; 33/10; ; 11/4; ; 17/5; 10/3; ; 7/2; 3; 7/2; 16/5; ; ; ; 1/100; ; 
Espanyol; 6; ; ; ; ; ; 21/4; ; ; 9/2; 9/2; ; 9/2; ; 24/5; 19/4; ; 9/2; 19/4; 9/2; 22/5; ; ; ; 1/100; ; 
META; spain/la-liga-primera/sevilla-v-espanyol; 2016-07-17 12:17:56 GMT+3; 2016-08-20 21:15; e70300-dr003
Sevilla; 1/2; ; ; ; ; ; 8/15; ; ; 11/21; 1/2; ; 1/2; ; 8/15; 11/20; ; 11/21; 6/11; 1/2; 8/15; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 10/3; ; ; 7/2; 33/10; ; 11/4; ; 17/5; 10/3; ; 7/2; 3; 7/2; 16/5; ; ; ; ; ; 
Espanyol; 6; ; ; ; ; ; 21/4; ; ; 9/2; 9/2; ; 9/2; ; 24/5; 19/4; ; 9/2; 19/4; 9/2; 22/5; ; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-espanyol; 2016-07-17 16:18:05 GMT+3; 2016-08-20 21:15; e70300-dr003
Sevilla; 1/2; ; ; ; ; 8/15; 8/15; ; ; 11/21; 1/2; ; 1/2; ; 8/15; 11/20; ; 11/21; 6/11; 1/2; 8/15; 11/21; ; ; ; ; 
Draw; 3; ; ; ; ; 16/5; 10/3; ; ; 7/2; 33/10; ; 11/4; ; 17/5; 10/3; ; 7/2; 3; 7/2; 16/5; 18/5; ; ; ; ; 
Espanyol; 6; ; ; ; ; 9/2; 21/4; ; ; 9/2; 9/2; ; 9/2; ; 24/5; 19/4; ; 9/2; 19/4; 9/2; 22/5; 61/10; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-espanyol; 2016-07-17 20:18:01 GMT+3; 2016-08-20 21:15; e70300-dr003
Sevilla; 1/2; ; ; ; ; 8/15; 8/15; ; ; 11/21; 1/2; ; 1/2; ; 8/15; 11/20; ; 11/21; 6/11; 1/2; 8/15; 11/21; ; ; 1/100; ; 
