META; spain/la-liga-primera/real-sociedad-v-real-madrid; 2016-07-17 08:17:49 GMT+3; 2016-08-21 19:15; e70300-dr003
Real Madrid; 4/7; ; ; ; ; ; 3/5; ; ; 7/10; 8/13; ; 4/7; ; 6/10; 8/13; ; 7/10; 3/5; 4/6; 11/17; ; ; ; 1/100; ; 
Draw; 3; ; ; ; ; ; 33/10; ; ; 3; 31/10; ; 14/5; ; 10/3; 10/3; ; 3; 29/10; 3; 3; ; ; ; 1/100; ; 
Real Sociedad; 9/2; ; ; ; ; ; 17/4; ; ; 7/2; 10/3; ; 7/2; ; 4; 4; ; 7/2; 17/4; 7/2; 39/11; ; ; ; 1/100; ; 
META; spain/la-liga-primera/real-sociedad-v-real-madrid; 2016-07-17 12:18:00 GMT+3; 2016-08-21 19:15; e70300-dr003
Real Madrid; 4/7; ; ; ; ; ; 3/5; ; ; 7/10; 8/13; ; 4/7; ; 6/10; 8/13; ; 7/10; 3/5; 4/6; 11/17; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 33/10; ; ; 3; 31/10; ; 14/5; ; 10/3; 10/3; ; 3; 29/10; 3; 3; ; ; ; ; ; 
Real Sociedad; 9/2; ; ; ; ; ; 17/4; ; ; 7/2; 10/3; ; 7/2; ; 4; 4; ; 7/2; 17/4; 7/2; 18/5; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-real-madrid; 2016-07-17 16:18:10 GMT+3; 2016-08-21 19:15; e70300-dr003
Real Madrid; 4/7; ; ; ; ; 4/7; 3/5; ; ; 7/10; 8/13; ; 4/7; ; 6/10; 8/13; ; 7/10; 3/5; 4/6; 11/17; 8/13; ; ; ; ; 
Draw; 3; ; ; ; ; 3; 33/10; ; ; 3; 31/10; ; 14/5; ; 10/3; 10/3; ; 3; 29/10; 3; 3; 17/5; ; ; ; ; 
Real Sociedad; 9/2; ; ; ; ; 9/2; 17/4; ; ; 7/2; 10/3; ; 7/2; ; 4; 4; ; 7/2; 17/4; 7/2; 18/5; 24/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-real-madrid; 2016-07-17 20:18:05 GMT+3; 2016-08-21 19:15; e70300-dr003
Real Madrid; 4/7; ; ; ; ; 4/7; 3/5; ; ; 7/10; 8/13; ; 4/7; ; 6/10; 8/13; ; 7/10; 3/5; 4/6; 11/17; 8/13; ; ; 1/100; ; 
Draw; 3; ; ; ; ; 3; 33/10; ; ; 3; 31/10; ; 14/5; ; 10/3; 10/3; ; 3; 29/10; 3; 3; 17/5; ; ; 1/100; ; 
Real Sociedad; 9/2; ; ; ; ; 9/2; 17/4; ; ; 7/2; 10/3; ; 7/2; ; 4; 4; ; 7/2; 17/4; 7/2; 18/5; 24/5; ; ; 1/100; ; 
META; spain/la-liga-primera/real-sociedad-v-real-madrid; 2016-07-18 00:18:03 GMT+3; 2016-08-21 19:15; e70300-dr003
