META; spain/la-liga-primera/sevilla-v-real-madrid; 2016-12-18 20:20:04 GMT+2; 2017-01-15 19:45; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/50; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 141/50; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-real-madrid; 2016-12-19 00:19:16 GMT+2; 2017-01-15 19:45; e70300-dr003
Real Madrid; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/50; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 141/50; ; ; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-real-madrid; 2016-12-19 04:18:56 GMT+2; 2017-01-15 19:45; e70300-dr003
Real Madrid; 10/11; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/50; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 141/50; ; ; ; ; ; ; 
Sevilla; 13/5; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-real-madrid; 2016-12-19 08:19:20 GMT+2; 2017-01-15 19:45; e70300-dr003
Real Madrid; 10/11; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/50; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 141/50; ; ; ; ; ; ; 
Sevilla; 13/5; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-real-madrid; 2016-12-19 12:19:12 GMT+2; 2017-01-15 19:45; e70300-dr003
Real Madrid; 5/6; ; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/50; ; ; ; ; ; ; 
