META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-29 04:18:23 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 10/11; ; ; ; ; ; 37/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/9; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-29 08:18:27 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 10/11; ; ; ; ; ; 37/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/9; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-29 12:18:38 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 17/20; ; ; ; ; ; 9/10; ; ; 9/10; ; ; ; ; ; ; ; 9/10; ; 9/10; ; 7/9; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; 23/10; ; ; ; ; ; ; ; 23/10; ; 23/10; ; 37/13; ; ; ; ; ; 
Real Sociedad; 10/3; ; ; ; ; ; 10/3; ; ; 10/3; ; ; ; ; ; ; ; 10/3; ; 10/3; ; 21/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-29 16:18:38 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 17/20; ; ; ; ; 9/10; 9/10; ; ; 9/10; ; ; ; ; ; 9/10; 11/13; 9/10; 9/10; 9/10; 13/15; 7/9; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 5/2; 5/2; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; 37/13; ; ; ; ; ; 
Real Sociedad; 10/3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; ; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 13/4; 21/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-29 20:19:00 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 17/20; ; ; ; ; 9/10; 19/20; ; ; 9/10; ; ; ; ; ; 9/10; 10/11; 9/10; 9/10; 9/10; 10/11; 11/13; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 5/2; 5/2; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 11/4; ; ; ; ; ; 
Real Sociedad; 10/3; ; ; ; ; 10/3; 3; ; ; 10/3; ; ; ; ; ; 10/3; 3; 10/3; 16/5; 10/3; 3; 19/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 00:18:25 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 17/20; ; ; ; ; 9/10; 19/20; ; ; 9/10; ; ; ; ; ; 9/10; 10/11; 9/10; 9/10; 9/10; 10/11; 11/13; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 5/2; 5/2; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 11/4; ; ; ; ; ; 
Real Sociedad; 10/3; ; ; ; ; 10/3; 3; ; ; 10/3; ; ; ; ; ; 10/3; 3; 10/3; 16/5; 10/3; 31/10; 19/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 04:18:31 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 19/20; ; ; 9/10; ; ; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 11/13; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 5/2; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 11/4; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 3; ; ; 10/3; ; ; ; ; ; 10/3; 3; 10/3; 16/5; 10/3; 58/19; 19/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 08:18:31 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 19/20; ; ; 9/10; ; ; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 11/13; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 5/2; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 11/4; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 3; ; ; 10/3; ; ; ; ; ; 10/3; 3; 10/3; 16/5; 10/3; 58/19; 19/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 12:18:46 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 19/20; ; ; 9/10; ; ; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 11/13; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; 11/4; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 31/10; ; ; 10/3; ; ; ; ; ; 10/3; 3; 10/3; 16/5; 10/3; 58/19; 19/5; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 16:18:56 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-30 20:19:33 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 00:18:29 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 04:18:39 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; 10/11; 19/20; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/9; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 7/2; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 08:18:32 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 11:56:35 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; ; 9/10; ; 19/20; ; ; ; 9/10; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; ; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; ; 10/3; ; 29/10; ; ; ; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 16:18:55 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; 10/11; 9/10; ; 19/20; ; ; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; ; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; 3; 10/3; ; 29/10; ; ; ; 33/10; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; ; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-08-31 20:19:20 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; 10/11; 9/10; ; 19/20; ; ; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; 3; 10/3; ; 29/10; ; ; ; 33/10; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-09-01 00:18:54 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; 10/11; 9/10; ; 19/20; ; ; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; 3; 10/3; ; 29/10; ; ; ; 33/10; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-09-01 04:19:00 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; 10/11; 9/10; ; 19/20; ; ; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; 3; 10/3; ; 29/10; ; ; ; 33/10; 10/3; 10/3; 16/5; 10/3; 58/19; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-09-01 08:18:55 GMT+3; 2016-09-17 12:00; e70300-dr003
Villarreal; 19/20; ; ; ; ; 9/10; 37/40; ; 10/11; 9/10; ; 19/20; ; ; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; 9/10; ; ; ; ; 
Draw; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 23/10; ; 21/10; ; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/9; 12/5; ; ; ; ; 
Real Sociedad; 3; ; ; ; ; 10/3; 16/5; ; 3; 10/3; ; 29/10; ; ; ; 33/10; 10/3; 10/3; 16/5; 10/3; ; 7/2; 37/13; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-sociedad; 2016-09-01 12:19:05 GMT+3; 2016-09-17 12:00; e70300-dr003
