META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-17 16:20:17 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-17 20:20:00 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 00:19:41 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 04:19:07 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 08:26:38 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 12:19:20 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 16:20:18 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-18 20:19:51 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-19 00:19:05 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-19 04:18:45 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; 1/4; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; 11; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-19 08:19:08 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; 1/4; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; 
Betis; 11; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2016-12-19 12:18:59 GMT+2; 2017-01-14 17:30; e70300-dr003
Atletico Madrid; 1/4; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/25; 2/9; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; 22/5; ; ; ; ; ; 
