META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-10 20:19:53 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 00:18:28 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 04:18:16 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 08:18:18 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 12:18:34 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 16:18:41 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-11 20:18:49 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; 17/11; ; 17/11; 44/25; ; ; ; ; ; ; 
Sevilla; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; 28/17; ; 28/17; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 11/5; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 00:17:57 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; ; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; 23/17; ; 16/11; ; 23/17; 44/25; ; ; ; ; ; ; 
