META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 00:18:31 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 04:18:18 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 08:18:21 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 12:18:38 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 16:18:43 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 20:18:53 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 7/15; ; 5/11; ; 7/15; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; 13/4; ; 13/4; ; 13/4; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; 91/17; ; 11/2; ; 91/17; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 00:17:59 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; 8/15; ; 4/7; 14/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 37/13; ; 3; ; 37/13; 7/2; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; ; 23/5; ; 5; ; 23/5; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 04:18:06 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; ; ; ; 11/20; ; ; ; ; ; ; ; ; 4/7; 4/7; ; 8/15; ; 4/7; 14/25; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 14/5; 37/13; ; 3; ; 37/13; 7/2; ; ; ; ; ; ; 
