META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-04 08:19:58 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; 4/5; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; 39/11; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-04 12:20:22 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; 4/5; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; 39/11; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-04 16:20:39 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; 4/5; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; 39/11; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-04 20:20:41 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; ; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; ; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; ; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-05 00:20:11 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; ; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; ; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; ; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-05 04:20:08 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; ; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; ; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; ; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-05 08:20:07 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 4/5; 5/6; 11/13; 5/6; ; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; ; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 39/11; 7/2; 17/5; 7/2; ; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-05 12:21:11 GMT+3; 2016-10-22 17:30; e70300-dr003
Real Sociedad; 4/5; ; 5/6; ; ; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; 17/20; 4/5; 10/13; 5/6; 11/13; 5/6; ; 4/5; 4/5; ; ; ; ; 
Draw; 12/5; ; 47/20; ; ; ; 13/5; ; ; 12/5; 12/5; ; ; ; ; 13/5; 5/2; 40/17; 12/5; 23/10; 12/5; ; 45/17; 12/5; ; ; ; ; 
Alaves; 15/4; ; 37/10; ; ; ; 18/5; ; ; 7/2; 15/4; ; ; ; ; 10/3; 4; 18/5; 7/2; 17/5; 7/2; ; 22/5; 57/17; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-alaves; 2016-10-05 16:20:17 GMT+3; 2016-10-22 17:30; e70300-dr003
