META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-04-18 14:20:30 GMT+3; 2017-04-26 20:30; e70300-dr003
Real Madrid; 1/3; ; ; ; ; 2/5; 4/11; ; 2/5; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 6/19; 3/10; 4/11; 6/19; 9/25; 7/18; 7/19; ; 7/19; ; 3/10; ; 
Draw; 15/4; ; ; ; ; 17/4; 4; ; 4; 15/4; 15/4; 15/4; 4; 18/5; 9/2; 4; 41/10; 17/4; 4; 41/10; 9/2; 4; 4; ; 4; ; 10/3; ; 
Deportivo La Coruna; 9; ; ; ; ; 13/2; 7; ; 13/2; 6; 13/2; 7; 7; 17/2; 13/2; 8; 7; 8; 13/2; 7; 89/10; 26/5; 13/2; ; 13/2; ; 38/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-04-19 16:48:11 GMT+3; 2017-04-26 20:30; e70300-dr003
Real Madrid; 1/3; ; ; 4/11; 4/11; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 1/3; 3/10; 4/11; 1/3; 9/25; 7/18; 7/19; ; 7/19; ; 4/11; ; 
Draw; 15/4; ; ; 4; 4; 4; 4; ; 19/5; 15/4; 18/5; 7/2; 4; 7/2; 17/4; 4; 41/10; 17/4; 4; 41/10; 9/2; 4; 4; ; 4; ; 10/3; ; 
Deportivo La Coruna; 9; ; ; 7; 15/2; 13/2; 13/2; ; 6; 6; 6; 13/2; 7; 8; 6; 15/2; 7; 8; 13/2; 7; 89/10; 26/5; 13/2; ; 13/2; ; 36/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-04-25 10:34:01 GMT+3; 2017-04-26 20:30; e70300-dr003
Real Madrid; 2/5; 2/5; 4/11; 2/5; 2/5; 17/40; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 5/12; 2/5; 3/8; 39/100; 5/12; 2/5; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 15/4; 4; 4; 7/2; 19/5; 4; 4; 7/2; 4; 21/5; 4; 15/4; 4; 4; 17/4; 4; 75/19; 15/4; 7/2; 75/19; 23/5; 4; 15/4; 4; 15/4; ; 7/2; 4; 21/5
Deportivo La Coruna; 7; 6; 7; 7; 7; 13/2; 13/2; 6; 6; 11/2; 6; 13/2; 13/2; 7; 6; 7; 27/4; 25/4; 7; 27/4; 37/5; 31/5; 7; 7; 7; ; 7; 33/5; 36/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-04-26 19:27:06 GMT+3; 2017-04-26 20:30; e70300-dr003
Real Madrid; 4/11; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 1/3; 4/9; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 10/29; 2/5; 4/11; 10/29; 19/50; 3/8; 7/19; 4/11; 3/8; ; 4/11; 2/5; 2/5
Draw; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 9/2; 21/5; 17/4; 4; 17/4; 24/5; 4; 9/2; 49/11; 4; 22/5; 49/11; 23/5; 22/5; 22/5; 9/2; 9/2; ; 22/5; 22/5; 23/5
Deportivo La Coruna; 6; 13/2; 15/2; 7; 13/2; 7; 7; 6; 6; 11/2; 13/2; 13/2; 15/2; 7; 6; 7; 27/4; 25/4; 13/2; 27/4; 38/5; 32/5; 13/2; 13/2; 13/2; ; 36/5; 36/5; 37/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-04-26 19:42:22 GMT+3; 2017-04-26 20:30; e70300-dr003
Real Madrid; 4/11; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 1/3; 4/9; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 10/29; 2/5; 4/11; 10/29; 19/50; 3/8; 7/19; 4/11; 3/8; ; 4/11; 4/11; 2/5
Draw; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 9/2; 21/5; 17/4; 4; 17/4; 24/5; 4; 9/2; 49/11; 4; 22/5; 49/11; 23/5; 22/5; 22/5; 9/2; 9/2; ; 9/2; 9/2; 23/5
Deportivo La Coruna; 6; 13/2; 15/2; 7; 13/2; 7; 7; 6; 6; 11/2; 13/2; 13/2; 15/2; 15/2; 6; 7; 27/4; 25/4; 13/2; 27/4; 38/5; 32/5; 13/2; 13/2; 13/2; ; 7; 36/5; 36/5
