META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 00:19:23 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 17/10; ; ; ; ; ; ; 
Alaves; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 193/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 04:19:50 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 17/10; ; ; ; ; ; ; 
Alaves; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 193/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 08:20:32 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 17/10; ; ; ; ; ; ; 
Alaves; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 193/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 12:20:56 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 17/10; ; ; ; ; ; ; 
Alaves; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 193/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 16:20:21 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; 17/10; ; ; ; ; ; ; 
Alaves; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 193/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-05 20:20:03 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; 29/20; ; 11/10; ; ; ; 29/20; ; ; 7/5; 29/20; ; 29/20; ; ; 6/4; 7/5; 17/11; ; 7/5; 17/10; ; ; ; ; ; ; 
Alaves; 2; ; 23/10; ; ; ; 2; ; ; 19/10; 15/8; ; 39/20; ; ; 2; 19/10; 17/10; ; 19/10; 193/100; ; ; ; ; ; ; 
Draw; 11/5; ; 11/5; ; ; ; 11/5; ; ; 11/5; 2; ; 9/4; ; ; 11/5; 21/10; 11/5; ; 21/10; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-sociedad; 2017-03-06 00:18:48 GMT+2; 2017-03-18 17:30; e70300-dr003
Real Sociedad; 29/20; ; 11/10; ; ; ; 29/20; ; ; 7/5; 29/20; ; 29/20; ; ; 6/4; 7/5; 17/11; ; 7/5; 17/10; ; ; ; ; 5/6; ; 
