META; spain/la-liga-primera/espanyol-v-alaves; 2017-03-26 00:24:18 GMT+2; 2017-04-08 11:00; e70300-dr003
Espanyol; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 87/100; ; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 51/20; ; ; ; ; ; ; ; 
Alaves; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-alaves; 2017-03-30 00:24:07 GMT+3; 2017-04-08 12:00; e70300-dr003
Espanyol; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 23/25; ; ; ; ; ; 1/2; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; 23/20; ; 
Alaves; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; 19/5; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-primera/espanyol-v-alaves; 2017-04-01 04:18:13 GMT+3; ; e70300-dr003
Sheffield Utd; 1/5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bolton; 1/20; 1/16; ; 1/16; 1/14; ; 1/16; 1/16; 1/20; 1/25; 1/20; ; 1/20; ; 1/16; 1/16; 1/16; 1/20; 1/20; 1/16; 13/200; 1/20; 1/20; ; 1/20; ; 1/100; ; 
Fleetwood; 5/2; 5/2; ; 5/2; 11/4; ; 5/2; 11/4; 5/2; 13/5; 5/2; ; 5/2; ; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; ; 5/2; ; 27/10; 13/5; 
Bradford; 11/4; 9/4; ; 9/4; 3; ; 5/2; 9/4; 11/4; 11/4; 3; ; 11/4; ; 9/4; 5/2; 3; 11/4; 11/4; 3; 3; 9/4; 11/4; ; 11/4; ; 21/10; ; 
Scunthorpe; 3; 7/2; ; 3; 3; ; 7/2; 3; 3; 11/4; 10/3; ; 16/5; ; 3; 3; 16/5; 3; 3; 16/5; 7/2; 3; 3; ; 3; ; 3; 3; 
Southend; 5; 5; ; 11/2; 11/2; ; 5; 9/2; 11/2; 11/2; 11/2; ; 11/2; ; 5; 5; 11/2; 5; 5; 11/2; 6; 5; 5; ; 5; ; 13/5; 12/5; 
Millwall; 7; 5; ; 11/2; 11/2; ; 5; 6; 13/2; 6; 11/2; ; 5; ; 11/2; 6; 6; 6; 7; 6; 5; 11/2; 7; ; 7; ; 31/5; 29/5; 
Oxford; 25; 22; ; 20; 20; ; 16; 25; 25; 25; 22; ; 25; ; 22; 22; 28; 25; 25; 28; 25; 22; 25; ; 25; ; 21; 92/5; 
Rochdale; 33; 22; ; 20; 18; ; 16; 20; 25; 20; 20; ; 20; ; 22; 20; 25; 22; 33; 25; 20; 22; 33; ; 33; ; 29; 27; 
Gillingham; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol Rovers; 125; 80; ; 66; 66; ; 66; 100; 66; 100; 100; ; 80; ; 80; 80; 150; 100; 125; 150; 66; 80; 125; ; 125; ; 52/5; 96; 
Northampton; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23; 20; 
Port Vale; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; 10/9; 
Walsall; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; 300; 300; 300; ; ; 300; ; 300; ; 1/50; 1/33; 
Swindon; ; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 400; ; ; ; 
Peterborough; 300; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 400; 300; 250; 400; ; ; 250; ; 250; ; 7/2; 10/3; 
AFC Wimbledon; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 450; ; ; 450; ; ; ; ; ; ; 1/50; ; 
Chesterfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; 
Shrewsbury; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; 3; ; 
