META; spain/la-liga-primera/malaga-v-osasuna; 2016-07-17 08:17:35 GMT+3; 2016-08-19 19:45; e70300-dr003
Malaga; 4/6; ; ; ; ; ; 8/13; ; ; 11/17; 8/13; ; 7/10; ; 8/13; 13/20; ; 11/17; 7/10; 8/13; 4/6; ; ; ; 1/100; ; 
Draw; 13/5; ; ; ; ; ; 14/5; ; ; 27/10; 11/4; ; 5/2; ; 14/5; 14/5; ; 27/10; 12/5; 27/10; 13/5; ; ; ; 1/100; ; 
Osasuna; 9/2; ; ; ; ; ; 5; ; ; 9/2; 4; ; 3; ; 9/2; 9/2; ; 9/2; 17/4; 9/2; 4; ; ; ; 1/100; ; 
META; spain/la-liga-primera/malaga-v-osasuna; 2016-07-17 12:17:47 GMT+3; 2016-08-19 19:45; e70300-dr003
Malaga; 4/6; ; ; ; ; ; 8/13; ; ; 11/17; 8/13; ; 7/10; ; 8/13; 13/20; ; 11/17; 7/10; 8/13; 4/6; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 14/5; ; ; 27/10; 11/4; ; 5/2; ; 14/5; 14/5; ; 27/10; 12/5; 27/10; 13/5; ; ; ; ; ; 
Osasuna; 9/2; ; ; ; ; ; 5; ; ; 9/2; 4; ; 3; ; 9/2; 9/2; ; 9/2; 17/4; 9/2; 4; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-osasuna; 2016-07-17 16:17:56 GMT+3; 2016-08-19 19:45; e70300-dr003
Malaga; 4/6; ; ; ; ; 13/20; 8/13; ; ; 11/17; 8/13; ; 7/10; ; 8/13; 13/20; ; 11/17; 7/10; 8/13; 4/6; 13/19; ; ; ; ; 
Draw; 13/5; ; ; ; ; 13/5; 14/5; ; ; 27/10; 11/4; ; 5/2; ; 14/5; 14/5; ; 27/10; 12/5; 27/10; 13/5; 29/10; ; ; ; ; 
Osasuna; 9/2; ; ; ; ; 17/4; 5; ; ; 9/2; 4; ; 3; ; 9/2; 9/2; ; 9/2; 17/4; 9/2; 4; 5; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-osasuna; 2016-07-17 20:17:52 GMT+3; 2016-08-19 19:45; e70300-dr003
Malaga; 4/6; ; ; ; ; 13/20; 8/13; ; ; 11/17; 8/13; ; 7/10; ; 8/13; 13/20; ; 11/17; 7/10; 8/13; 4/6; 13/19; ; ; 1/100; ; 
Draw; 13/5; ; ; ; ; 13/5; 14/5; ; ; 27/10; 11/4; ; 5/2; ; 14/5; 14/5; ; 27/10; 12/5; 27/10; 13/5; 29/10; ; ; 1/100; ; 
Osasuna; 9/2; ; ; ; ; 17/4; 5; ; ; 9/2; 4; ; 3; ; 9/2; 9/2; ; 9/2; 17/4; 9/2; 77/19; 5; ; ; 1/100; ; 
META; spain/la-liga-primera/malaga-v-osasuna; 2016-07-18 00:17:50 GMT+3; 2016-08-19 19:45; e70300-dr003
Malaga; 4/6; ; ; ; ; 13/20; 8/13; ; ; 11/17; 13/20; ; 7/10; ; 8/13; 13/20; ; 11/17; 7/10; 8/13; 4/6; 13/19; ; ; ; ; 
Draw; 13/5; ; ; ; ; 13/5; 14/5; ; ; 27/10; 13/5; ; 5/2; ; 14/5; 14/5; ; 27/10; 12/5; 27/10; 13/5; 29/10; ; ; ; ; 
