META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-08 20:20:08 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; 
Eibar; ; ; ; ; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; 10; ; ; 27/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-09 00:19:28 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; 4/11; ; 
Eibar; ; ; ; ; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; 10; ; ; 27/2; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-09 04:19:10 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; 4/11; ; 
Eibar; ; ; ; ; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; 10; ; ; 27/2; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-09 12:19:34 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; 3/10; 2/7; ; ; ; ; ; ; 5/19; ; 1/4; ; 5/19; 1/4; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; 5; 19/4; ; ; ; ; ; ; 49/11; ; 9/2; ; 49/11; 29/5; ; ; ; ; 4/11; ; 
Eibar; ; ; ; ; ; ; ; ; 17/2; 9; ; ; ; ; ; ; 9; ; 10; ; 9; 27/2; ; ; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-09 16:20:05 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; ; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 2/7; 3/11; ; 1/4; ; 3/11; 1/4; 1/4; ; ; ; 1/20; ; 
Draw; 5; ; ; ; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 5; 24/5; ; 9/2; ; 24/5; 29/5; 24/5; ; ; ; 4/11; ; 
Eibar; 9; ; ; ; ; 9; 10; ; 17/2; 9; ; ; 10; ; 9; 10; 15/2; ; 10; ; 15/2; 27/2; 15/2; ; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-09 20:19:54 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; ; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 1/4; 3/13; 1/4; 1/4; 3/13; 1/4; 1/4; 3/11; ; ; 1/20; ; 
Draw; 5; ; ; ; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 11/2; 49/10; 9/2; 5; 49/10; 29/5; 24/5; 5; ; ; 4/11; ; 
Eibar; 9; ; ; ; ; 9; 10; ; 17/2; 9; ; ; 10; ; 9; 10; 37/4; 10; 9; 37/4; 27/2; 15/2; 9; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-10 00:19:42 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; ; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 1/4; 4/17; 1/4; 1/4; 4/17; 1/4; 1/4; 3/11; ; ; 1/20; ; 
Draw; 5; ; ; ; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 11/2; 49/10; 9/2; 5; 49/10; 29/5; 24/5; 5; ; ; 4/11; ; 
Eibar; 9; ; ; ; ; 9; 21/2; ; 17/2; 9; ; ; 10; ; 9; 10; 37/4; 10; 9; 37/4; 27/2; 15/2; 9; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-10 04:19:40 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; ; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 1/4; 4/17; 1/4; 1/4; 4/17; 1/4; 1/4; 3/11; ; ; 1/20; ; 
Draw; 5; ; ; ; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 11/2; 49/10; 9/2; 5; 49/10; 29/5; 24/5; 5; ; ; 4/11; ; 
Eibar; 9; ; ; ; ; 9; 21/2; ; 17/2; 9; ; ; 10; ; 9; 10; 37/4; 10; 9; 37/4; 27/2; 15/2; 9; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-10 08:19:45 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; ; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 1/4; 4/17; 1/4; 1/4; 4/17; 1/4; 1/4; 3/11; ; ; 1/20; ; 
Draw; 5; ; ; ; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 11/2; 49/10; 9/2; 5; 49/10; 29/5; 24/5; 5; ; ; 4/11; ; 
Eibar; 9; ; ; ; ; 9; 21/2; ; 17/2; 9; ; ; 10; ; 9; 10; 37/4; 10; 9; 37/4; 27/2; 15/2; 9; ; ; 4/11; ; 
META; spain/la-liga-primera/eibar-v-barcelona; 2017-01-10 12:19:55 GMT+2; 2017-01-22 19:45; e70300-dr003
Barcelona; 1/4; ; ; 1/4; ; 2/7; 1/4; ; 3/10; 2/7; ; ; 1/4; ; 2/7; 1/4; 4/17; 1/4; 1/4; 4/17; 1/4; 1/4; 3/11; ; ; 1/20; ; 
Draw; 5; ; ; 9/2; ; 5; 5; ; 5; 19/4; ; ; 5; ; 5; 11/2; 49/10; 9/2; 5; 49/10; 29/5; 24/5; 5; ; ; 4/11; ; 
Eibar; 9; ; ; 10; ; 9; 21/2; ; 17/2; 9; ; ; 10; ; 9; 10; 37/4; 10; 9; 37/4; 27/2; 15/2; 9; ; ; 4/11; ; 
