META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-18 14:20:36 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 9/20; ; ; ; ; 4/9; 9/20; ; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 2/5; 2/5; 4/9; 2/5; 1/2; 3/7; 5/11; ; 5/11; ; 2/5; ; 
Draw; 10/3; ; ; ; ; 19/5; 18/5; ; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 62/17; 13/4; 7/2; 62/17; 18/5; 37/10; 7/2; ; 7/2; ; 3; ; 
Celta Vigo; 6; ; ; ; ; 11/2; 6; ; 21/4; 11/2; 11/2; 11/2; 6; 13/2; 11/2; 6; 29/5; 6; 6; 29/5; 32/5; 49/10; 6; ; 6; ; 28/5; ; 
META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-19 16:48:17 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 9/20; ; ; 4/9; ; 4/9; 4/9; ; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 2/5; 2/5; 4/9; 2/5; 1/2; 3/7; 5/11; ; 5/11; ; 2/5; ; 
Draw; 10/3; ; ; 15/4; ; 19/5; 15/4; ; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 62/17; 13/4; 7/2; 62/17; 18/5; 37/10; 7/2; ; 7/2; ; 3; ; 
Celta Vigo; 6; ; ; 11/2; ; 11/2; 6; ; 21/4; 11/2; 11/2; 11/2; 6; 13/2; 11/2; 6; 29/5; 6; 6; 29/5; 32/5; 49/10; 6; ; 6; ; 28/5; ; 
META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-26 19:27:14 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 4/11; 4/11; 2/5; 1/3; 4/11; 4/11; 2/5; 1/3; 1/3; 3/10; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 6/17; 4/11; 4/11; 6/17; 39/100; 2/5; 4/11; 2/5; 7/19; ; 4/11; 4/11; 2/5
Draw; 4; 4; 17/4; 4; 4; 17/4; 21/5; 4; 17/4; 19/5; 4; 4; 17/4; 4; 17/4; 9/2; 41/10; 4; 21/5; 41/10; 9/2; 21/5; 21/5; 4; 17/4; ; 21/5; 21/5; 21/5
Celta Vigo; 15/2; 13/2; 15/2; 8; 8; 15/2; 15/2; 15/2; 13/2; 7; 15/2; 13/2; 15/2; 8; 7; 15/2; 15/2; 15/2; 7; 15/2; 38/5; 13/2; 7; 15/2; 7; ; 38/5; 38/5; 39/5
META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-26 19:42:28 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 4/11; 4/11; 2/5; 1/3; 4/11; 4/11; 2/5; 1/3; 1/3; 3/10; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 6/17; 4/11; 4/11; 6/17; 39/100; 2/5; 4/11; 2/5; 7/19; ; 4/11; 4/11; 2/5
Draw; 4; 4; 17/4; 4; 4; 17/4; 21/5; 4; 17/4; 19/5; 4; 4; 17/4; 4; 17/4; 9/2; 41/10; 4; 21/5; 41/10; 9/2; 21/5; 21/5; 4; 17/4; ; 21/5; 21/5; 21/5
Celta Vigo; 15/2; 13/2; 15/2; 8; 15/2; 15/2; 15/2; 15/2; 13/2; 7; 15/2; 13/2; 15/2; 8; 7; 15/2; 15/2; 15/2; 7; 15/2; 38/5; 13/2; 7; 15/2; 7; ; 38/5; 38/5; 39/5
META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-27 15:11:15 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 3/10; 3/10; 4/11; 3/10; 3/10; 1/3; 1/3; 1/3; 2/7; 1/3; 3/10; 2/7; 17/50; 4/13; 6/19; 3/10; 6/19; ; 3/10; 1/3; 1/3
Draw; 19/4; 17/4; 19/4; 4; 5; 460/100; 5; 9/2; 19/4; 19/5; 4; 9/2; 19/4; 5; 9/2; 9/2; 19/4; 17/4; 9/2; 19/4; 5; 24/5; 9/2; 9/2; 9/2; ; 23/5; 23/5; 24/5
Celta Vigo; 17/2; 15/2; 10; 8; 17/2; 17/2; 19/2; 7; 8; 15/2; 15/2; 8; 9; 9; 15/2; 17/2; 17/2; 8; 15/2; 17/2; 43/5; 83/10; 15/2; 17/2; 15/2; ; 9; 46/5; 19/2
META; spain/la-liga-primera/sevilla-v-celta-vigo; 2017-04-27 18:01:46 GMT+3; 2017-04-27 19:30; e70300-dr003
Sevilla; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 4/11; 3/10; 1/3; 3/10; 30/100; 1/3; 2/7; 1/3; 3/10; 5/18; 1/3; 4/13; 6/19; 3/10; 6/19; ; 3/10; 3/10; 1/3
Draw; 19/4; 17/4; 19/4; 4; 5; 460/100; 19/4; 9/2; 19/4; 4; 4; 9/2; 9/2; 5; 19/4; 9/2; 63/13; 17/4; 9/2; 49/10; 5; 5; 9/2; 9/2; 9/2; ; 23/5; 24/5; 24/5
Celta Vigo; 17/2; 15/2; 10; 8; 17/2; 17/2; 19/2; 7; 15/2; 15/2; 15/2; 17/2; 17/2; 9; 8; 8; 17/2; 8; 15/2; 35/4; 87/10; 81/10; 15/2; 17/2; 15/2; ; 9; 46/5; 19/2
