META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 57/20; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; ; ; ; ; ; ; ; 7/2; 39/11; 15/4; ; 39/11; 22/5; 11/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 20:19:19 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; 3/4; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; ; ; ; ; 11/4; 27/10; 28/11; 5/2; ; 28/11; 57/20; 13/5; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; ; ; ; ; 15/4; 7/2; 39/11; 15/4; ; 39/11; 22/5; 11/4; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 00:18:43 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; ; ; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; ; ; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 04:18:41 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; ; ; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; ; ; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 08:18:39 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; ; ; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; ; ; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 12:19:53 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; ; ; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
