META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-29 04:18:32 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/4; ; ; ; ; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; 5; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; 57/10; ; ; ; ; ; 
Gijon; 9; ; ; ; ; ; 14; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-29 08:18:35 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/4; ; ; ; ; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; 5; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; 57/10; ; ; ; ; ; 
Gijon; 9; ; ; ; ; ; 14; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-29 12:18:48 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; ; 2/9; ; ; 2/9; 1/4; ; ; ; ; ; ; 2/9; ; 2/9; ; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; 5; ; ; 19/4; 9/2; ; ; ; ; ; ; 19/4; ; 23/5; ; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; ; 14; ; ; 14; 12; ; ; ; ; ; ; 14; ; 14; ; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-29 16:18:47 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; 2/9; 1/4; ; ; 2/9; 1/4; ; ; ; ; 1/4; 2/9; 2/9; 1/4; 2/9; 1/5; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; 11/2; 19/4; ; ; 19/4; 9/2; ; ; ; ; 9/2; 9/2; 19/4; 4; 23/5; 19/4; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; 14; 12; ; ; 14; 12; ; ; ; ; 14; 14; 14; 25/2; 14; 53/4; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-29 20:19:09 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; 2/9; 2/9; ; ; 2/9; 1/4; ; ; ; ; 1/4; 1/5; 2/9; 1/4; 2/9; 2/9; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; 11/2; 5; ; ; 19/4; 9/2; ; ; ; ; 9/2; 5; 19/4; 4; 23/5; 9/2; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; 14; 14; ; ; 14; 14; ; ; ; ; 14; 14; 14; 25/2; 14; 25/2; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-30 00:18:34 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; 2/9; 2/9; ; ; 2/9; 2/9; ; ; ; ; 1/4; 1/5; 2/9; 1/4; 2/9; 3/14; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; 11/2; 5; ; ; 19/4; 9/2; ; ; ; ; 9/2; 5; 19/4; 4; 23/5; 23/5; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; 14; 14; ; ; 14; 14; ; ; ; ; 14; 14; 14; 25/2; 14; 55/4; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-30 04:18:40 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; 2/9; 2/9; ; ; 2/9; 2/9; ; ; ; ; 1/4; 1/5; 2/9; 1/4; 2/9; 1/5; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; 11/2; 5; ; ; 19/4; 9/2; ; ; ; ; 9/2; 5; 19/4; 4; 23/5; 47/10; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; 14; 14; ; ; 14; 14; ; ; ; ; 14; 14; 14; 25/2; 14; 14; 18; ; ; ; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-gijon; 2016-08-30 08:18:40 GMT+3; 2016-09-17 19:45; e70300-dr003
Atletico Madrid; 1/5; ; ; ; ; 2/9; 2/9; ; ; 2/9; 2/9; ; ; ; ; 1/4; 1/5; 2/9; 1/4; 2/9; 1/5; 3/13; ; ; ; ; ; 
Draw; 5; ; ; ; ; 11/2; 5; ; ; 19/4; 9/2; ; ; ; ; 9/2; 5; 19/4; 4; 23/5; 47/10; 57/10; ; ; ; ; ; 
Gijon; 14; ; ; ; ; 14; 14; ; ; 14; 14; ; ; ; ; 14; 14; 14; 25/2; 14; 14; 18; ; ; ; ; ; 
