Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-18 20:20:49 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 00:19:52 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/19; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 12; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 04:19:29 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 08:19:37 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/28; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 1500/100; 17; ; ; 16; 14; ; 12; ; 10; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 35; ; ; 40; 45; ; 45; ; 50; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 12:20:53 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; ; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/16; 1/25; 1/41; 1/16; 1/16; ; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; ; ; 16; 16; ; ; 14; 14; ; 12; ; 10; 14; 27/2; 11; 10; ; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; ; ; 50; 33; ; ; 40; 50; ; 45; ; 50; 40; 63/2; 33; 26; ; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 16:20:39 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/25; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; 33; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-19 20:19:37 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/18; 1/25; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; 12; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; 35; 33; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-20 00:19:25 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/18; 1/25; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; ; 1/16; ; ; ; ; 
Draw; 10; ; 12; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 55/4; 11; 10; 11; 55/4; 17; ; 11; ; ; ; ; 
Granada; 33; ; 33; 33; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 127/4; 33; 26; 33; 127/4; 40; ; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-20 04:19:08 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/18; 1/20; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; 12; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 55/4; 11; 10; 11; 55/4; 17; 13; 11; ; ; ; ; 
