META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-24 08:20:22 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; ; ; ; ; 1; ; ; 20/21; 19/20; ; 19/20; ; ; ; 1; ; 1; ; 1; 19/17; ; 9/10; ; ; 4/7; ; 
Draw; 12/5; ; ; ; ; ; 5/2; ; ; 5/2; 23/10; ; 5/2; ; ; ; 40/17; ; 9/4; ; 40/17; 12/5; ; 5/2; ; ; 6/4; ; 
Eibar; 11/4; ; ; ; ; ; 14/5; ; ; 11/4; 13/5; ; 57/20; ; ; ; 45/17; ; 14/5; ; 45/17; 3; ; 3; ; ; 7/5; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-24 12:20:43 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; ; ; ; ; 1; ; ; 20/21; 19/20; ; 19/20; ; 21/20; ; 1; ; 1; ; 1; 11/10; ; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; ; ; ; ; 5/2; ; ; 5/2; 23/10; ; 5/2; ; 5/2; ; 40/17; ; 9/4; ; 40/17; 29/12; ; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; ; ; ; ; 14/5; ; ; 11/4; 13/5; ; 57/20; ; 13/5; ; 45/17; ; 14/5; ; 45/17; 58/19; ; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-24 16:20:34 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; ; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 1; ; 19/20; 11/10; 28/29; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; ; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 9/4; ; 12/5; 29/12; 5/2; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; ; 14/5; 13/5; ; 57/20; ; 13/5; ; 11/4; ; 14/5; ; 11/4; 58/19; 5/2; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-24 20:21:10 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 1; ; 19/20; 11/10; 28/29; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 40/17; ; 9/4; ; 40/17; 29/12; 5/2; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 11/4; ; 14/5; ; 11/4; 58/19; 5/2; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 00:20:25 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 1; ; 19/20; 11/10; 28/29; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 40/17; ; 9/4; ; 40/17; 29/12; 5/2; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 11/4; ; 14/5; ; 11/4; 58/19; 5/2; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 04:20:28 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 1; ; 19/20; 11/10; 28/29; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 40/17; ; 9/4; ; 40/17; 29/12; 5/2; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 11/4; ; 14/5; ; 11/4; 58/19; 5/2; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 08:20:26 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 7/4; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 14/5; ; 29/10; ; 14/5; 58/19; 5/2; 3; ; ; 17/10; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 12:21:09 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 4/6; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 9/5; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 14/5; ; 29/10; ; 14/5; 58/19; 5/2; 3; ; ; 7/4; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 16:20:35 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; ; ; 1; 20/21; ; 1; 20/21; 19/20; ; ; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 4/6; ; 
Draw; 12/5; ; 12/5; ; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; ; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 9/5; ; 
Eibar; 11/4; ; 11/4; ; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; ; ; 13/5; ; 14/5; ; 29/10; ; 14/5; 58/19; 5/2; 3; ; ; 7/4; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-25 20:20:50 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; 1; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 4/6; ; 
Draw; 12/5; ; 12/5; 12/5; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 9/5; ; 
Eibar; 11/4; ; 11/4; 14/5; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 14/5; ; 29/10; ; 14/5; 58/19; 5/2; 3; ; ; 7/4; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-26 00:20:08 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; 1; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 4/6; ; 
Draw; 12/5; ; 12/5; 12/5; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 19/10; ; 
Eibar; 11/4; ; 11/4; 14/5; ; 14/5; 14/5; ; 14/5; 14/5; 13/5; ; 57/20; ; 13/5; ; 14/5; ; 29/10; ; 14/5; 58/19; 5/2; 3; ; ; 2; ; 
META; spain/la-liga-primera/las-palmas-v-eibar; 2016-10-26 04:20:22 GMT+3; 2016-11-05 19:45; e70300-dr003
Las Palmas; 1; ; 21/20; 1; ; 1; 20/21; ; 1; 20/21; 19/20; ; 19/20; ; 21/20; ; 19/20; ; 19/20; ; 19/20; 11/10; 28/29; 9/10; ; ; 4/6; ; 
Draw; 12/5; ; 12/5; 12/5; ; 13/5; 13/5; ; 5/2; 12/5; 23/10; ; 5/2; ; 5/2; ; 12/5; ; 23/10; ; 12/5; 29/12; 5/2; 5/2; ; ; 19/10; ; 
