META; spain/la-liga-primera/espanyol-v-granada; 2017-01-02 16:19:42 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-02 20:19:26 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 00:19:17 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 04:19:12 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 08:19:28 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 12:19:13 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 16:19:55 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-03 20:19:43 GMT+2; 2017-01-21 12:00; e70300-dr003
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 17/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 61/20; ; ; ; ; ; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/espanyol-v-granada; 2017-01-04 00:19:17 GMT+2; 2017-01-21 12:00; e70300-dr003
