META; spain/la-liga-primera/granada-v-villarreal; 2016-07-17 08:17:43 GMT+3; 2016-08-20 19:15; e70300-dr003
Villarreal; 11/8; ; ; ; ; ; 11/8; ; ; 5/4; 13/10; ; 13/10; ; 11/8; 7/5; ; 5/4; 6/5; 5/4; 23/17; ; ; ; 1/100; ; 
Granada; 2; ; ; ; ; ; 21/10; ; ; 9/4; 7/4; ; 13/8; ; 19/10; 39/20; ; 9/4; 23/10; 9/4; 37/19; ; ; ; 1/100; ; 
Draw; 11/5; ; ; ; ; ; 9/4; ; ; 23/10; 12/5; ; 11/5; ; 12/5; 12/5; ; 23/10; 11/5; 23/10; 9/4; ; ; ; 1/100; ; 
META; spain/la-liga-primera/granada-v-villarreal; 2016-07-17 12:17:53 GMT+3; 2016-08-20 19:15; e70300-dr003
Villarreal; 11/8; ; ; ; ; ; 11/8; ; ; 5/4; 13/10; ; 13/10; ; 11/8; 7/5; ; 5/4; 6/5; 5/4; 23/17; ; ; ; ; ; 
Granada; 2; ; ; ; ; ; 21/10; ; ; 9/4; 7/4; ; 13/8; ; 19/10; 39/20; ; 9/4; 23/10; 9/4; 37/19; ; ; ; ; ; 
Draw; 11/5; ; ; ; ; ; 9/4; ; ; 23/10; 12/5; ; 11/5; ; 12/5; 12/5; ; 23/10; 11/5; 23/10; 9/4; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-villarreal; 2016-07-17 16:18:03 GMT+3; 2016-08-20 19:15; e70300-dr003
Villarreal; 11/8; ; ; ; ; 27/20; 11/8; ; ; 5/4; 13/10; ; 13/10; ; 11/8; 7/5; ; 5/4; 6/5; 5/4; 23/17; 11/8; ; ; ; ; 
Granada; 2; ; ; ; ; 2; 85/40; ; ; 9/4; 7/4; ; 13/8; ; 19/10; 39/20; ; 9/4; 23/10; 9/4; 37/19; 23/10; ; ; ; ; 
Draw; 11/5; ; ; ; ; 11/5; 9/4; ; ; 23/10; 12/5; ; 11/5; ; 12/5; 12/5; ; 23/10; 11/5; 23/10; 9/4; 12/5; ; ; ; ; 
