Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 7/18; 2/5; 2/5; 7/18; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 17/5; 7/2; 38/11; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 13/2; 27/4; 7; 13/2; 15/2; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 04:18:53 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 7/18; 2/5; 2/5; ; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 7/2; 7/2; ; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 13/2; 13/2; 7; ; 15/2; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 08:18:46 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 7/18; 2/5; 2/5; 7/18; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 13/2; 13/2; 7; 13/2; 15/2; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 12:19:00 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 3/8; 2/5; ; 3/8; 11/25; 7/17; ; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 7/2; ; 38/11; 39/10; 39/11; ; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 13/2; 13/2; ; 13/2; 15/2; 57/10; ; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 16:18:57 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 3/8; 2/5; 2/5; 3/8; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 13/2; 13/2; 7; 13/2; 15/2; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-02-28 20:19:43 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 2/5; 2/5; ; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 11/25; 7/17; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 7/2; 15/4; ; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 39/10; 39/11; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 7; 13/2; ; 13/2; 7; 27/4; 13/2; 7; 27/4; 15/2; 57/10; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 00:19:07 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 2/5; 4/9; 4/9; 21/50; ; 4/9; 4/9; 2/5; 2/5; 2/5; 5/11; 11/25; ; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 3; 7/2; 10/3; 16/5; 10/3; 7/2; ; 7/2; 7/2; 7/2; 7/2; 7/2; 57/17; 39/10; ; 7/2; ; ; 7/2; 10/3; 
