Draw; 16/5; ; 16/5; ; ; 10/3; 10/3; ; 3; 16/5; 29/10; ; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; ; 13/4; ; ; 3; ; 
Granada; 13/2; ; 13/2; ; ; 13/2; 13/2; ; 6; 6; 6; ; 13/2; 6; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; ; 13/2; ; ; 33/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-03 12:19:54 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; 12/25; 9/20; ; 4/9; 10/21; 4/9; ; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; ; 4/9; ; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; ; 10/3; 10/3; ; 3; 16/5; 3; ; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; ; 13/4; ; ; 3; ; 
Granada; 13/2; ; 13/2; ; ; 13/2; 13/2; ; 6; 6; 6; ; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; ; 13/2; ; ; 33/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-03 16:20:09 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 1/2; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; ; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; ; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 13/2; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 6; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-03 20:19:59 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; ; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; ; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; ; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 29/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 00:19:17 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 9/20; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
