META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 00:19:21 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 3/4; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 13/5; 14/5; ; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; 61/20; 45/17; 14/5; ; ; ; ; 
Athletic Bilbao; 4; ; 16/5; ; ; 19/5; 19/5; ; 7/2; 4; ; 15/4; 4; ; 4; 4; 75/19; 4; 4; 75/19; 41/10; 17/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 04:19:31 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 3/4; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 13/5; 14/5; ; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; 61/20; 45/17; 14/5; ; ; ; ; 
Athletic Bilbao; 4; ; 16/5; ; ; 19/5; 19/5; ; 7/2; 4; ; 15/4; 4; ; 4; 4; 75/19; 4; 4; 75/19; 41/10; 17/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 08:20:02 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 8/11; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 13/5; 14/5; ; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; 61/20; 45/17; 14/5; ; ; ; ; 
Athletic Bilbao; 4; ; 16/5; ; ; 19/5; 19/5; ; 7/2; 4; ; 15/4; 4; ; 4; 4; 75/19; 4; 4; 75/19; 41/10; 17/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 12:20:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 8/11; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 13/5; 14/5; ; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; 61/20; 45/17; 14/5; ; ; ; ; 
