META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 00:19:26 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 71/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 72/25; ; ; ; ; ; ; 
Osasuna; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 47/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 04:19:54 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 71/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 72/25; ; ; ; ; ; ; 
Osasuna; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 47/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 08:20:36 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 71/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 72/25; ; ; ; ; ; ; 
Osasuna; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 47/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 12:20:58 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 71/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 72/25; ; ; ; ; ; ; 
Osasuna; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 47/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 16:20:25 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 71/100; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 72/25; ; ; ; ; ; ; 
Osasuna; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 47/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-osasuna; 2017-03-05 20:20:07 GMT+2; 2017-03-18 19:45; e70300-dr003
Betis; 13/20; ; 8/13; ; ; ; 13/20; ; ; 13/20; 8/13; ; 8/13; ; ; 4/6; 4/6; 4/6; ; 4/6; 71/100; ; ; ; ; ; ; 
Draw; 11/4; ; 3; ; ; ; 11/4; ; ; 13/5; 12/5; ; 27/10; ; ; 11/4; 45/17; 5/2; ; 45/17; 72/25; ; ; ; ; ; ; 
