META; spain/la-liga-primera/malaga-v-barcelona; 2017-03-26 00:24:26 GMT+2; 2017-04-08 18:45; e70300-dr003
Barcelona; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/100; ; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 
Malaga; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2017-03-30 00:24:15 GMT+3; 2017-04-08 19:45; e70300-dr003
Draw; 19/4; 4; 17/4; 4; 9/2; 19/4; 19/4; 9/2; 9/2; 17/4; 4; 4; 17/4; 4; 19/4; 9/2; 50/11; 19/4; 23/5; 50/11; 49/10; 43/10; 19/4; 17/4; 19/4; ; 23/5; ; 23/5
Malaga; 7; 8; 8; 7; 17/2; 15/2; 8; 8; 7; 15/2; 8; 15/2; 8; 9; 7; 8; 8; 8; 15/2; 8; 21/2; 6; 15/2; 15/2; 15/2; ; 9; ; 43/5
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-06 11:20:21 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; 1/3; 4/11; 7/20; 4/11; 1/3; 7/20; 1/3; 3/10; 1/3; 7/20; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 6/19; 3/10; 1/3; 6/19; 33/100; 10/29; 1/3; 1/3; 1/3; ; 1/3; 1/3; 4/11
Draw; 9/2; 4; 4; 4; 9/2; 460/100; 9/2; 9/2; 17/4; 4; 4; 4; 4; 4; 9/2; 9/2; 43/10; 9/2; 21/5; 43/10; 49/10; 43/10; 17/4; 4; 17/4; ; 9/2; 22/5; 9/2
Malaga; 15/2; 7; 8; 7; 8; 15/2; 15/2; 17/2; 7; 15/2; 15/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 29/4; 8; 8; 19/2; 6; 8; 15/2; 8; ; 39/5; 8; 43/5
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-06 16:04:09 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; 1/3; 4/11; 7/20; 4/11; 1/3; 4/11; 1/3; 3/10; 1/3; 7/20; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 3/10; 1/3; 1/3; 33/100; 4/11; 1/3; 1/3; 1/3; ; 1/3; 1/3; 4/11
Draw; 9/2; 4; 4; 4; 9/2; 460/100; 9/2; 4; 17/4; 17/4; 17/4; 4; 4; 4; 9/2; 9/2; 43/10; 9/2; 21/5; 43/10; 49/10; 22/5; 17/4; 4; 17/4; ; 23/5; 9/2; 23/5
Malaga; 15/2; 7; 8; 7; 8; 15/2; 15/2; 17/2; 7; 7; 7; 15/2; 8; 17/2; 15/2; 15/2; 8; 29/4; 8; 8; 19/2; 15/2; 8; 15/2; 8; ; 39/5; 8; 17/2
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-06 20:04:42 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 3/10; 1/3; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 4/11; 10/29; 3/10; 1/3; 10/29; 31/100; 4/11; 1/3; 4/11; 1/3; ; 1/3; 1/3; 4/11
Draw; 17/4; 4; 17/4; 4; 9/2; 9/2; 17/4; 4; 17/4; 4; 17/4; 4; 4; 15/4; 9/2; 9/2; 17/4; 9/2; 21/5; 17/4; 5; 22/5; 17/4; 15/4; 17/4; ; 9/2; 9/2; 9/2
Malaga; 7; 7; 15/2; 7; 15/2; 7; 7; 17/2; 13/2; 13/2; 13/2; 7; 8; 15/2; 13/2; 15/2; 15/2; 29/4; 8; 15/2; 21/2; 15/2; 8; 7; 8; ; 39/5; 8; 41/5
META; spain/la-liga-primera/malaga-v-barcelona; 2017-04-07 13:05:51 GMT+3; 2017-04-08 19:45; e70300-dr003
Barcelona; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 3/10; 1/3; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 4/11; 10/29; 1/3; 1/3; 10/29; 9/25; 4/11; 1/3; 4/11; 1/3; ; 1/3; 1/3; 4/11
Draw; 17/4; 4; 17/4; 4; 9/2; 9/2; 22/5; 4; 17/4; 4; 17/4; 4; 17/4; 4; 9/2; 9/2; 17/4; 19/4; 21/5; 17/4; 23/5; 22/5; 17/4; 17/4; 17/4; ; 9/2; 22/5; 9/2
Malaga; 7; 13/2; 8; 7; 15/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 7; 15/2; 17/2; 7; 15/2; 15/2; 29/4; 8; 15/2; 42/5; 15/2; 8; 15/2; 8; ; 41/5; 8; 8
