META; champions-league/atletico-madrid-v-leicester; 2017-03-17 14:15:00 GMT+2; 2017-04-11 18:45; Nothing; Xlenovo
Atletico Madrid; ; 4/11; ; ; ; ; ; ; 1/3; 3/10; 1/4; ; 3/10; ; 30/100; ; 2/7; ; 3/10; 2/7; ; ; 3/10; ; 3/10; ; ; ; 
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-28 06:15:06 GMT+2; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-28 10:15:05 GMT+2; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-28 14:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-28 18:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-28 22:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 9; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 02:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 38/5; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 06:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 38/5; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 10:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 14:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 18:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-29 22:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 02:15:08 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 06:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 10:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 14:15:08 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 18:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-30 22:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 02:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 06:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 10:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 14:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 18:15:12 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-31 22:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 02:15:44 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 06:15:47 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 3/11; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 39/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 10:15:49 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 14:15:51 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 18:40:21 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; ; 3/10; 2/7; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; ; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; ; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-01 22:40:23 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; ; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; ; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; ; 11; 10; 11; ; 19/2; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 02:40:23 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; ; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; ; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; ; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 19/2; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 06:40:26 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
