META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 02:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 6/4; 6/5; ; ; 7/5; ; 6/4; 7/5; ; ; 29/20; ; 6/4; 8/5; ; 16/11; 6/4; 13/10; ; 6/4; 143/100; 16/11; ; ; ; ; ; ; 
Atletico de Madrid; 17/10; 19/10; ; ; 15/8; ; 17/10; 7/4; ; ; 13/8; ; 33/20; 7/4; ; 15/8; 17/10; 17/10; ; 17/10; 191/100; 11/7; ; ; ; ; ; ; 
Draw; 12/5; 11/4; ; ; 13/5; ; 13/5; 5/2; ; ; 23/10; ; 51/20; 12/5; ; 27/10; 12/5; 45/17; ; 12/5; 57/20; 23/10; ; ; ; ; ; ; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 10:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 6/4; 6/5; ; 6/4; 6/4; 8/5; 6/4; 7/5; ; ; 6/4; ; 6/4; 8/5; ; 6/4; 6/4; 13/10; ; 6/4; 29/20; 16/11; ; ; ; ; ; ; 
Atletico de Madrid; 17/10; 19/10; ; 13/8; 7/4; 7/4; 17/10; 7/4; ; ; 8/5; ; 33/20; 17/10; ; 15/8; 17/10; 17/10; ; 17/10; 49/25; 14/9; ; ; ; ; ; ; 
Draw; 12/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 5/2; ; ; 23/10; ; 51/20; 12/5; ; 13/5; 12/5; 45/17; ; 12/5; 68/25; 23/10; ; ; ; ; ; ; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 14:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 6/4; 7/5; ; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; ; 29/20; 31/20; 6/4; 8/5; ; 16/11; 6/4; 23/17; ; 6/4; 8/5; 16/11; ; ; ; ; ; 6/4; 
Atletico de Madrid; 17/10; 13/8; ; 13/8; 7/4; 7/4; 17/10; 7/4; 7/4; ; 8/5; 17/10; 33/20; 17/10; ; 17/10; 17/10; 17/10; ; 17/10; 44/25; 14/9; ; ; ; ; ; 13/8; 
Draw; 12/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; ; 23/10; 23/10; 51/20; 12/5; ; 5/2; 12/5; 13/5; ; 12/5; 68/25; 23/10; ; ; ; ; ; 12/5; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 18:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 6/4; 6/4; 8/5; 6/4; 6/4; 13/8; 31/20; 7/5; 6/4; 29/20; 6/4; 8/5; 6/4; 13/8; ; 16/11; 17/11; 16/11; ; ; 8/5; 20/13; ; 6/4; ; ; ; 6/4; 
Atletico de Madrid; 17/10; 8/5; 13/8; 13/8; 7/4; 17/10; 13/8; 7/4; 7/4; 33/20; 13/8; 13/8; 13/8; 13/8; ; 17/10; 8/5; 8/5; ; ; 44/25; 13/8; ; 17/10; ; ; ; 13/8; 
Draw; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5; 12/5; 51/20; 12/5; ; 5/2; 27/11; 13/5; ; ; 68/25; 45/17; ; 5/2; ; ; ; 12/5; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 22:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 6/4; 8/5; 6/4; 6/4; 33/20; 8/5; 7/5; 8/5; 29/20; 6/4; 13/8; 31/20; 17/10; ; 16/11; 17/11; 16/11; ; 17/11; 8/5; 19/12; ; 8/5; ; ; ; 8/5; 
