META; english/premier-league/arsenal-v-man-city; 2017-03-04 22:16:51 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 02:16:46 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 06:16:25 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 10:16:45 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 14:17:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 18:16:27 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-05 22:16:30 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 02:16:46 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 06:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 10:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 14:16:23 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 18:16:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; 
Man City; ; ; 8/5; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-city; 2017-03-06 22:16:22 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Arsenal; ; ; 6/4; ; ; ; ; 7/5; 6/4; ; ; ; ; ; ; ; ; 7/5; ; ; 33/20; ; ; ; ; ; ; 
