META; english/premier-league/tottenham-v-watford; 2017-03-19 22:16:23 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 02:16:41 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 06:16:03 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 10:16:04 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 14:16:15 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 18:16:05 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-20 22:16:07 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-21 02:16:30 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
Watford; ; ; 11; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-watford; 2017-03-21 06:16:05 GMT+2; 2017-04-08 12:30; Nothing; Xlenovo
Tottenham; ; ; 1/4; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; ; ; ; 27/100; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
