Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; 11/4; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; 23/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 10:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 14:15:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; 14/5; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; 23/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 18:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 22:15:51 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 02:15:49 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 06:15:49 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 10:15:49 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 14:15:49 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/4; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; 7/2; ; 
Crystal Palace; ; ; ; ; ; ; ; 9; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; 31/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 18:15:48 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-26 22:15:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 02:15:41 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 06:15:42 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 10:15:42 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; 7/2; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; 31/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 14:15:42 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 2/9; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 11/2; ; 21/4; ; 21/4; ; 7/2; ; 
Crystal Palace; ; ; ; ; ; ; ; 10; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 11; ; 11; ; 11; ; 32/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 18:15:43 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; 2/9; ; ; ; ; ; 1/4; 2/9; 1/4; ; ; ; 2/9; 1/4; ; 1/4; 4/17; 3/10; 2/9; 4/17; 7/25; ; 2/9; ; 2/9; ; 2/9; ; 
Draw; 11/2; ; ; ; ; ; 11/2; 5; 11/2; ; ; ; 21/4; 11/2; ; 6; 67/13; 9/2; 26/5; 67/13; 11/2; ; 21/4; ; 21/4; ; 24/5; ; 
Crystal Palace; 10; ; ; ; ; ; 12; 10; 9; ; ; ; 11; 12; ; 11; 10; 15/2; 11; 10; 11; ; 11; ; 11; ; 54/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-27 22:15:41 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; 1/5; ; ; ; ; ; 2/9; 2/9; 1/4; ; ; ; 1/5; 2/9; ; 2/9; 2/9; 5/18; 2/9; 2/9; 7/25; ; 2/9; ; 2/9; ; 1/5; ; 
Draw; 11/2; ; ; ; ; ; 11/2; 5; 11/2; ; ; ; 11/2; 11/2; ; 6; 67/13; 9/2; 26/5; 67/13; 11/2; ; 21/4; ; 21/4; ; 24/5; ; 
Crystal Palace; 12; ; ; ; ; ; 14; 10; 10; ; ; ; 12; 14; ; 12; 11; 31/4; 11; 11; 11; ; 11; ; 11; ; 64/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-28 02:15:38 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; 1/5; ; ; ; ; ; 2/9; 2/9; 1/4; ; ; ; 1/5; 2/9; ; 2/9; ; 5/18; 2/9; 2/9; 6/25; ; 2/9; ; 2/9; ; ; ; 
Draw; 11/2; ; ; ; ; ; 11/2; 5; 11/2; ; ; ; 11/2; 11/2; ; 11/2; ; 9/2; 26/5; 67/13; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; 12; ; ; ; ; ; 14; 10; 10; ; ; ; 12; 14; ; 12; ; 31/4; 11; 11; 15; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-28 06:15:38 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; 1/5; ; ; ; ; ; 2/9; 2/9; 1/4; ; ; ; 1/5; 2/9; ; 2/9; 2/9; 5/18; 2/9; 2/9; 6/25; ; 2/9; ; 2/9; ; ; ; 
Draw; 11/2; ; ; ; ; ; 11/2; 5; 11/2; ; ; ; 11/2; 11/2; ; 11/2; 67/13; 9/2; 26/5; 67/13; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; 12; ; ; ; ; ; 14; 10; 10; ; ; ; 12; 14; ; 12; 11; 31/4; 11; 11; 15; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-28 11:01:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
