META; english/premier-league/leicester-v-stoke; 2017-03-07 02:17:03 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 06:16:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 10:16:24 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 14:16:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 18:16:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-07 22:16:56 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 02:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 06:16:16 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 10:17:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 14:16:22 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 18:16:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-08 22:16:29 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 02:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 06:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 10:16:16 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 14:16:16 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 18:16:39 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-09 22:16:08 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-10 02:16:03 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Leicester; ; ; 1; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Stoke; ; ; 5/2; ; ; ; ; 2; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
