META; english/premier-league/sunderland-v-burnley; 2017-03-04 18:17:27 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; ; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; ; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Burnley; ; ; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-04 22:16:26 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; ; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; ; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Burnley; ; ; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 02:16:26 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; ; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; ; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Burnley; ; ; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 06:16:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; ; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; ; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Burnley; ; ; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 10:16:32 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; ; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; ; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Burnley; ; ; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 14:16:49 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; ; 5/4; 6/5; ; ; ; ; 21/20; 6/5; ; ; ; ; ; ; 5/4; ; 11/10; ; ; 13/10; ; ; ; ; ; ; 
Burnley; ; 11/5; 2; ; ; ; ; 5/2; 5/2; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 5/2; ; ; ; ; ; ; 
Draw; ; 23/10; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 5/2; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 18:16:14 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; 6/5; 5/4; 6/5; ; 13/10; ; 11/8; 21/20; 13/10; 13/10; 6/5; ; 5/4; ; ; 13/10; 15/13; 11/10; ; 15/13; 13/10; ; ; ; ; ; ; 
Draw; 11/5; 23/10; 12/5; ; 9/4; ; 11/5; 23/10; 9/4; 11/5; 2; ; 21/10; ; ; 23/10; 9/4; 23/10; ; 9/4; 12/5; ; ; ; ; ; ; 
Burnley; 12/5; 11/5; 2; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; ; 12/5; ; ; 5/2; 40/17; 12/5; ; 12/5; 5/2; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-05 22:16:16 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; 13/10; 5/4; 6/5; ; 11/8; ; 7/5; 21/20; 7/5; 13/10; 11/8; ; 27/20; ; ; 11/8; 13/10; 11/10; 27/20; 13/10; 36/25; ; 23/17; ; ; 21/20; ; 
Draw; 11/5; 23/10; 12/5; ; 23/10; ; 11/5; 23/10; 9/4; 11/5; 2; ; 11/5; ; ; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 23/10; ; ; 13/8; ; 
Burnley; 21/10; 11/5; 2; ; 23/10; ; 23/10; 5/2; 85/40; 21/10; 2; ; 21/10; ; ; 23/10; 39/19; 12/5; 2; 39/19; 23/10; ; 2; ; ; 6/4; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-06 02:16:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; 13/10; 5/4; 6/5; ; 7/5; ; 29/20; 21/20; 7/5; 7/5; 7/5; ; 11/8; ; ; 11/8; 23/17; 5/4; 27/20; 23/17; 36/25; ; 23/17; ; ; 21/20; ; 
Draw; 11/5; 23/10; 12/5; ; 23/10; ; 9/4; 23/10; 9/4; 11/5; 2; ; 11/5; ; ; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; ; 23/10; ; ; 13/8; ; 
Burnley; 21/10; 11/5; 2; ; 9/4; ; 11/5; 5/2; 85/40; 2; 19/10; ; 21/10; ; ; 23/10; 2; 9/4; 2; 2; 23/10; ; 2; ; ; 6/4; ; 
META; english/premier-league/sunderland-v-burnley; 2017-03-06 06:16:02 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sunderland; 13/10; 5/4; 6/5; ; 7/5; ; 29/20; 21/20; 7/5; 7/5; 7/5; ; 11/8; ; ; 11/8; 23/17; 5/4; 27/20; 23/17; 36/25; ; 23/17; ; ; 11/10; ; 
Draw; 11/5; 23/10; 12/5; ; 23/10; ; 9/4; 23/10; 9/4; 11/5; 2; ; 11/5; ; ; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; ; 23/10; ; ; 13/8; ; 
