META; english/premier-league/burnley-v-tottenham; 2017-03-04 22:16:53 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 02:16:49 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 06:16:27 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 10:16:49 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 14:17:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 18:16:29 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-05 22:16:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 02:16:50 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
