Draw; 19/4; ; 9/2; ; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 5; 24/5; 5; 5; 24/5; 27/5; ; 5; ; ; 1/25; ; 
Stoke; 12; ; 9; ; 14; 10; 12; 9; 10; 10; 10; 11; 12; ; ; 12; 19/2; 9; 12; 19/2; 13; ; 12; ; ; 1/16; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-27 10:16:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Man City; 2/9; ; 1/4; ; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 2/7; 5/19; 1/4; 2/9; 5/19; 27/100; 3/11; 2/9; ; ; 2/13; ; 
Draw; 19/4; ; 9/2; ; 11/2; 5; 11/2; 9/2; 21/4; 19/4; 9/2; 9/2; 5; ; ; 5; 24/5; 5; 5; 24/5; 27/5; 51/10; 5; ; ; 1/50; ; 
Stoke; 12; ; 9; ; 14; 10; 12; 9; 10; 10; 10; 11; 12; ; ; 12; 19/2; 9; 12; 19/2; 13; 89/10; 12; ; ; 1/10; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-27 14:16:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Man City; 2/9; ; 1/4; ; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 2/7; 5/19; 1/4; 2/9; 5/19; 27/100; 3/11; 2/9; ; ; 2/13; ; 
Draw; 19/4; ; 9/2; ; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 5; 24/5; 5; 5; 24/5; 27/5; 51/10; 5; ; ; 2/15; ; 
Stoke; 12; ; 9; ; 14; 10; 12; 9; 10; 10; 10; 11; 12; ; ; 12; 19/2; 9; 12; 19/2; 13; 89/10; 12; ; ; 2/15; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-27 18:16:14 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 2/7; 4/17; 1/4; 2/9; 4/17; 27/100; 3/11; 2/9; ; ; 1/10; ; 
