META; english/premier-league/burnley-v-stoke; 2017-03-12 22:16:24 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 02:16:34 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 06:16:49 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 10:16:17 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 14:16:22 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 18:16:53 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-13 22:16:17 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 153/100; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 41/20; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 02:16:45 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 06:16:12 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 10:16:18 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 14:16:48 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 18:16:18 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-14 22:16:11 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-15 02:16:46 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
