META; english/premier-league/man-utd-v-everton; 2017-03-18 22:16:10 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Everton; 9/2; ; 5; ; 9/2; ; 11/2; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 5; 79/17; 9/2; 5; 79/17; 26/5; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 10:15:49 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/13; ; 8/13; 4/7; 8/13; 8/15; 4/7; 3/5; 4/7; ; ; ; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 61/100; ; 4/7; ; 4/7; ; ; ; 
Draw; 3; ; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; ; ; ; 3; 16/5; 56/19; 11/4; 14/5; 56/19; 16/5; ; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; ; 19/4; ; 9/2; 9/2; 21/4; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 5; 23/5; 9/2; 5; 23/5; 53/10; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 14:15:53 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; ; 8/13; 8/13; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; ; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; ; ; 3; 31/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; ; 19/4; ; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; ; ; 9/2; 11/2; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 18:15:49 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 4/7; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; ; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; ; ; 3; 29/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 19/4; 19/4; ; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; ; ; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 22:15:52 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 4/7; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; ; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; ; ; 3; 29/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 19/4; 19/4; ; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; ; ; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 02:16:06 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 4/7; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; 4/7; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; ; 14/5; 3; 29/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 19/4; 19/4; ; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; ; 4; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 06:15:48 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 4/7; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; 4/7; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; ; 14/5; 3; 29/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 19/4; 19/4; ; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; ; 4; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 10:15:49 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 4/7; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 14/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 19/4; 19/4; 9/2; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; 19/4; 4; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 14:15:50 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
