META; english/premier-league/hull-v-west-ham; 2017-03-05 22:16:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 02:16:55 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 06:16:22 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 10:16:25 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 14:16:30 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 18:16:40 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-06 22:16:29 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
