Burnley; 12; 12; 12; 12; 14; 12; 14; 11; 11; 12; 12; 12; 14; ; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 5/2; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-01 10:16:14 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; ; 2/9; 2/9; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; ; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; ; 6; 11/2; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; ; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 5/2; ; 
Burnley; 12; 12; 12; ; 14; 12; 14; 11; 11; 12; 12; 12; 14; ; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 5/2; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-01 14:16:49 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; ; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; 11/2; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; ; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 5; ; 
Burnley; 12; 12; 12; 12; 14; 12; 14; 11; 11; 12; 12; 12; 14; ; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-01 18:16:22 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; 11/2; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 5; ; 
Burnley; 12; 12; 12; 12; 14; 12; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-01 22:16:10 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; ; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; ; 11/2; 9/2; 11/2; ; 19/4; 5; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; ; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-02 02:16:08 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; ; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 25/2; 11; 12; 25/2; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-02 06:16:07 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; ; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 25/2; 11; 12; 25/2; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-02 10:16:24 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 3/13; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 5; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 29/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 25/2; 11; 12; 25/2; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-02 14:16:12 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-02 18:16:15 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 25/2; 11; 12; 25/2; 35/2; 10; 12; ; ; 54/5; ; 
