META; english/premier-league/west-ham-v-leicester; 2017-03-04 22:16:30 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 02:16:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 06:16:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 10:16:34 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; ; ; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; ; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; ; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 14:16:53 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; ; 11/10; 1; ; ; ; ; 19/20; 11/10; ; ; ; ; ; ; 11/10; ; 11/10; ; ; 11/10; ; ; ; ; ; ; 
Draw; ; 12/5; 12/5; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 13/5; ; 23/10; ; ; 12/5; ; ; ; ; ; ; 
Leicester; ; 12/5; 5/2; ; ; ; ; 14/5; 14/5; ; ; ; ; ; ; 14/5; ; 12/5; ; ; 61/20; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 18:16:16 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
West Ham; 21/20; 11/10; 1; ; 23/20; ; 6/5; 19/20; 11/10; 23/20; 23/20; ; 11/10; ; ; 15/13; 21/20; 11/10; ; 21/20; 6/5; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; ; 12/5; 23/10; 12/5; 23/10; 11/5; ; 23/10; ; ; 5/2; 40/17; 23/10; ; 40/17; 12/5; ; ; ; ; ; ; 
Leicester; 5/2; 12/5; 5/2; ; 13/5; ; 13/5; 14/5; 13/5; 12/5; 9/4; ; 5/2; ; ; 27/10; 5/2; 12/5; ; 5/2; 27/10; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-leicester; 2017-03-05 22:16:19 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
