META; english/premier-league/arsenal-v-leicester; 2017-02-20 18:16:55 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; 2/7; ; ; ; ; 4/11; 1/3; ; ; ; ; ; ; ; ; 4/11; ; ; 7/20; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 7/2; 17/4; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
Leicester; ; ; 17/2; ; ; ; ; 7; 8; ; ; ; ; ; ; ; ; 13/2; ; ; 10; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-20 22:16:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; 2/7; ; ; ; ; 4/11; 1/3; ; ; ; ; ; ; ; ; 4/11; ; ; 7/20; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 7/2; 17/4; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
Leicester; ; ; 17/2; ; ; ; ; 7; 8; ; ; ; ; ; ; ; ; 13/2; ; ; 10; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 02:17:14 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; 2/7; ; ; ; ; 4/11; 1/3; ; ; ; ; ; ; ; ; 4/11; ; ; 7/20; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 7/2; 17/4; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
Leicester; ; ; 17/2; ; ; ; ; 7; 8; ; ; ; ; ; ; ; ; 13/2; ; ; 10; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 06:16:37 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; 2/7; ; ; ; ; 4/11; 1/3; ; ; ; ; ; ; ; ; 4/11; ; ; 7/20; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 7/2; 17/4; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
Leicester; ; ; 17/2; ; ; ; ; 7; 8; ; ; ; ; ; ; ; ; 13/2; ; ; 10; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 10:16:43 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; 2/7; ; ; ; ; 4/11; 1/3; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 7/2; 17/4; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; 17/2; ; ; ; ; 7; 8; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 14:17:14 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 18:17:10 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-21 22:16:42 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-22 02:17:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-22 06:16:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-22 10:17:03 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; 7/19; 4/11; ; 7/19; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; 50/13; 4; ; 50/13; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; 27/4; 13/2; ; 27/4; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-22 14:17:46 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; ; 4/11; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; ; ; ; ; ; 
Leicester; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; 15/2; ; 13/2; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-leicester; 2017-02-22 18:16:41 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; 4/11; ; 4/11; ; ; ; ; ; ; ; ; ; 
