META; english/premier-league/tottenham-v-southampton; 2017-03-04 22:16:41 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 02:16:39 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 06:16:20 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 10:16:41 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; ; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; ; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 14:17:07 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; ; 8/15; 4/9; ; ; ; ; 8/15; 4/7; ; ; ; ; ; ; 4/7; ; 8/15; ; ; 63/100; ; ; ; ; ; ; 
Draw; ; 3; 3; ; ; ; ; 27/10; 3; ; ; ; ; ; ; 31/10; ; 3; ; ; 3; ; ; ; ; ; ; 
Southampton; ; 5; 6; ; ; ; ; 11/2; 11/2; ; ; ; ; ; ; 6; ; 5; ; ; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 18:16:22 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; ; ; 11/20; ; ; 8/13; 5/9; 8/15; ; 5/9; 8/13; ; ; ; ; ; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 14/5; ; ; 29/10; ; ; 31/10; 29/10; 3; ; 29/10; 31/10; ; ; ; ; ; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 5; 19/4; ; ; 21/4; ; ; 11/2; 96/19; 5; ; 96/19; 11/2; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-05 22:16:25 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; ; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 4/11; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; 14/5; ; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 9/5; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; 9/2; ; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 3; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 02:16:40 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; ; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 2/5; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; 14/5; ; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 21/10; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; 9/2; ; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 06:16:11 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 4/9; ; 3/5; ; 3/5; 8/15; 4/7; 4/7; 4/7; ; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 2/5; ; 
Draw; 29/10; 3; 3; ; 3; ; 3; 27/10; 3; 3; 14/5; ; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 21/10; ; 
Southampton; 5; 5; 6; ; 11/2; ; 11/2; 11/2; 19/4; 19/4; 9/2; ; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 10:16:14 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
