META; english/premier-league/bournemouth-v-swansea; 2017-03-01 22:16:15 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 02:16:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 06:16:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 10:16:28 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 14:16:16 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 18:16:19 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Swansea; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/4; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-swansea; 2017-03-02 22:16:24 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Bournemouth; ; ; 1; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
