Draw; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 13/5; 23/10; 13/5; 5/2; 12/5; 5/2; 51/20; 27/10; 13/5; 13/5; 5/2; 12/5; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
Swansea; 14/5; 12/5; 11/4; 12/5; 11/4; 11/4; 14/5; 14/5; 11/4; 13/5; 5/2; 5/2; 11/4; 13/5; 14/5; 14/5; 27/10; 11/4; 14/5; 27/10; 31/10; ; 14/5; ; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-03 02:54:50 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 19/20; 21/20; 9/10; 1; 1; ; 21/20; 19/20; 21/20; 20/21; 1; 1; 19/20; 21/20; 19/20; 21/20; 1; 19/20; 20/21; 1; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 5/2; 5/2; 5/2; 12/5; 13/5; ; 13/5; 23/10; 13/5; 5/2; 12/5; 5/2; 51/20; 27/10; 13/5; 13/5; 5/2; 12/5; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
Swansea; 14/5; 12/5; 11/4; 12/5; 11/4; ; 14/5; 14/5; 11/4; 13/5; 5/2; 5/2; 11/4; 13/5; 14/5; 14/5; 27/10; 11/4; 14/5; 27/10; 31/10; ; 14/5; ; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-03 06:54:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 19/20; 21/20; 9/10; 1; 1; 1; 21/20; 19/20; 21/20; 20/21; 1; 1; 19/20; 21/20; 19/20; 21/20; 1; 19/20; 20/21; 1; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 13/5; 23/10; 13/5; 5/2; 12/5; 5/2; 51/20; 27/10; 13/5; 13/5; 5/2; 12/5; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
Swansea; 14/5; 12/5; 11/4; 12/5; 11/4; 11/4; 14/5; 14/5; 11/4; 13/5; 5/2; 5/2; 11/4; 13/5; 14/5; 14/5; 45/17; 11/4; 14/5; 45/17; 31/10; ; 14/5; ; 14/5; ; ; ; 
