META; english/premier-league/leicester-v-hull; 2017-02-12 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 131/50; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 77/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-14 06:16:20 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 1; 10/11; 19/20; ; ; ; 23/20; 10/11; 11/10; 21/20; 21/20; 21/20; ; ; 1; 21/20; 1; 1; 21/20; 1; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 12/5; 12/5; 12/5; 11/5; 11/5; 9/4; ; ; 23/10; 5/2; 9/4; 12/5; 9/4; 9/4; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 11/4; 3; 27/10; ; ; ; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; ; ; 3; 3; 14/5; 13/5; 11/4; 14/5; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-14 10:16:21 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 1; 10/11; 19/20; ; ; ; 1; 10/11; 11/10; 21/20; 21/20; 21/20; ; ; 1; 1; 1; 1; 21/20; 1; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 12/5; 12/5; 12/5; 11/5; 11/5; 9/4; ; ; 23/10; 5/2; 9/4; 12/5; 9/4; 9/4; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 11/4; 3; 27/10; ; ; ; 16/5; 11/4; 14/5; 14/5; 5/2; 11/4; ; ; 3; 3; 14/5; 13/5; 11/4; 14/5; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-14 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 1; 10/11; 19/20; ; ; ; 1; 10/11; 11/10; 21/20; 21/20; 21/20; ; ; 1; 1; 1; 1; 21/20; 1; 113/100; 13/12; 21/20; ; ; ; ; 
