META; english/premier-league/middlesbrough-v-man-utd; 2017-03-04 22:16:38 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/9; 1/2; 4/9; ; 9/20; ; 9/20; 1/2; 1/2; 4/9; 4/9; ; 21/50; ; ; 1/2; 7/15; 10/21; 4/9; 7/15; 47/100; ; 4/9; ; ; 1/3; ; 
Draw; 16/5; 16/5; 10/3; ; 10/3; ; 33/10; 3; 10/3; 3; 29/10; ; 16/5; ; ; 10/3; 41/13; 16/5; 3; 41/13; 10/3; ; 16/5; ; ; 12/5; ; 
Middlesbrough; 13/2; 11/2; 11/2; ; 8; ; 17/2; 5; 13/2; 13/2; 13/2; ; 15/2; ; ; 7; 6; 11/2; 33/5; 6; 41/5; ; 27/4; ; ; 5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-06 10:16:12 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/9; 1/2; 4/9; ; 9/20; 12/25; 9/20; 1/2; 1/2; 4/9; 4/9; ; 21/50; ; ; 1/2; 7/15; 10/21; 4/9; 7/15; 47/100; ; 4/9; ; ; 2/5; ; 
Draw; 16/5; 16/5; 10/3; ; 10/3; 10/3; 33/10; 3; 10/3; 3; 29/10; ; 16/5; ; ; 10/3; 41/13; 16/5; 3; 41/13; 10/3; ; 16/5; ; ; 12/5; ; 
Middlesbrough; 13/2; 11/2; 11/2; ; 8; 13/2; 17/2; 5; 13/2; 13/2; 13/2; ; 15/2; ; ; 7; 6; 11/2; 33/5; 6; 41/5; ; 27/4; ; ; 5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-06 14:16:13 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/9; 1/2; 40/85; ; 9/20; 12/25; 9/20; 1/2; 1/2; 4/9; 4/9; 4/9; 4/9; ; 9/20; 1/2; 7/15; 10/21; 4/9; 7/15; 47/100; 7/15; 4/9; ; ; 4/9; ; 
Draw; 16/5; 16/5; 31/10; ; 7/2; 10/3; 10/3; 3; 10/3; 16/5; 29/10; 3; 16/5; ; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 10/3; 33/10; 16/5; ; ; 12/5; ; 
Middlesbrough; 13/2; 11/2; 7; ; 15/2; 13/2; 15/2; 5; 13/2; 13/2; 13/2; 7; 7; ; 13/2; 7; 6; 11/2; 33/5; 6; 41/5; 31/5; 27/4; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-06 18:16:23 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/9; 1/2; 1/2; 4/9; 1/2; 12/25; 1/2; 1/2; 1/2; 10/21; 4/9; 4/9; 9/20; 1/2; 9/20; 1/2; 4/9; 10/21; 4/9; 4/9; 47/100; 7/15; ; ; ; 4/9; ; 
Draw; 16/5; 16/5; 3; 16/5; 10/3; 10/3; 16/5; 3; 10/3; 3; 29/10; 3; 16/5; 10/3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 10/3; 33/10; ; ; ; 3; ; 
Middlesbrough; 13/2; 11/2; 13/2; 13/2; 7; 13/2; 15/2; 5; 13/2; 13/2; 6; 15/2; 7; 13/2; 13/2; 13/2; 13/2; 11/2; 33/5; 13/2; 41/5; 31/5; ; ; ; 31/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-06 22:16:13 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 1/2; 1/2; 8/15; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 12/25; 8/15; 1/2; 8/15; 10/21; 10/21; 4/9; 10/21; 1/2; 8/15; ; ; ; 4/9; ; 
Draw; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 31/10; 3; 3; 3; 11/4; 14/5; 3; 16/5; 16/5; 16/5; 58/19; 16/5; 3; 58/19; 13/4; 29/10; ; ; ; 14/5; ; 
