Draw; 11/4; 29/10; 29/10; 14/5; ; 3; 3; 13/5; 3; 14/5; 27/10; 14/5; 29/10; 3; 14/5; 3; 29/10; 27/10; 14/5; 29/10; 61/20; 58/19; 29/10; ; 29/10; ; 12/5; ; 
Crystal Palace; 4; 18/5; 18/5; 19/5; ; 19/5; 15/4; 7/2; 19/5; 7/2; 17/5; 7/2; 15/4; 19/5; 4; 4; 19/5; 4; 7/2; 19/5; 4; 18/5; 19/5; ; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 02:16:39 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 7/10; 3/4; 7/10; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 5/7; 13/19; 8/11; 13/19; ; 4/6; ; 
Draw; 11/4; 29/10; 14/5; 14/5; 11/4; 3; 29/10; 13/5; 3; 14/5; 27/10; 14/5; 29/10; 29/10; 14/5; 3; 29/10; 27/10; 14/5; 29/10; 61/20; 58/19; 29/10; 11/4; 29/10; ; 11/4; ; 
Crystal Palace; 15/4; 18/5; 17/5; 19/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 4; 4; 19/5; 4; 7/2; 19/5; 4; 18/5; 19/5; 7/2; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 06:16:13 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 7/10; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 7/10; 8/11; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/19; 8/11; 13/19; ; ; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 3; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 14/5; 29/10; 29/10; 27/10; 14/5; 29/10; 61/20; 58/19; 29/10; 11/4; 29/10; ; ; ; 
Crystal Palace; 15/4; 10/3; 17/5; 19/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 4; 4; 37/10; 4; 7/2; 37/10; 4; 18/5; 19/5; 7/2; 19/5; ; ; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 10:16:25 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 7/10; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 7/10; 8/11; 14/19; 4/6; 4/6; 14/19; 3/4; 5/7; 13/19; 8/11; 13/19; ; 4/6; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 3; 14/5; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 14/5; 29/10; 14/5; 27/10; 14/5; 14/5; 61/20; 58/19; 29/10; 11/4; 29/10; ; 11/4; ; 
