META; english/premier-league/swansea-v-stoke; 2017-04-08 22:16:40 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Stoke; 11/5; 11/5; 2; ; ; 11/5; 23/10; 2; 9/4; 11/5; 2; ; 9/4; ; 11/5; 23/10; 28/13; 2; 12/5; 28/13; 9/4; ; 12/5; ; 12/5; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 23/10; 11/5; ; 23/10; ; 23/10; 5/2; 9/4; 11/5; 23/10; 9/4; 12/5; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-10 10:15:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 5/4; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 23/17; 23/20; 5/4; 7/5; ; 15/13; ; 15/13; ; ; ; 
Stoke; 11/5; 11/5; 2; ; ; 11/5; 23/10; 2; 9/4; 11/5; 2; ; 9/4; ; 11/5; 23/10; 21/10; 2; 12/5; 21/10; 9/4; ; 12/5; ; 12/5; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 23/10; 11/5; ; 23/10; ; 23/10; 5/2; 23/10; 11/5; 23/10; 23/10; 12/5; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-10 14:15:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 5/4; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; ; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; 1/20; ; 
Stoke; 11/5; 11/5; 2; ; ; 23/10; 12/5; 2; 9/4; 9/4; 2; 9/4; 9/4; ; 11/5; 23/10; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; 1; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 11/5; 11/5; 11/5; 23/10; ; 23/10; 5/2; 9/4; 11/5; 23/10; 9/4; 12/5; 23/10; 23/10; ; 23/10; ; 19/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-10 18:16:24 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; 6/5; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 11/5; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 9/4; 11/5; 23/10; 9/4; 12/5; 23/10; 23/10; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-10 22:16:18 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; 6/5; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 11/5; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 9/4; 11/5; 23/10; 9/4; 12/5; 23/10; 23/10; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-11 10:15:53 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; ; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 28/13; 2; 23/10; ; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 11/5; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-11 14:16:00 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-11 18:16:32 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-11 22:15:52 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; 6/5; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 02:15:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; 6/5; ; 
