Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 58/19; 11/4; 14/5; 58/19; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-16 06:16:01 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 58/19; 11/4; 14/5; 58/19; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-16 10:16:14 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 58/19; 11/4; 14/5; 58/19; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-16 14:16:04 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 20/21; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 23/10; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 58/19; 11/4; 14/5; 58/19; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-16 18:16:28 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 31/10; 11/4; 14/5; 31/10; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-16 22:16:07 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
Middlesbrough; 3; 14/5; 3; ; 3; 3; 33/10; 5/2; 3; ; 14/5; 3; ; 5/2; 16/5; 3; 31/10; 11/4; 14/5; 31/10; 10/3; 31/10; 37/13; ; 37/13; ; ; ; 
META; english/premier-league/swansea-v-middlesbrough; 2017-03-17 02:16:04 GMT+2; 2017-04-02 13:30; Nothing; Xlenovo
Swansea; 19/20; 1; 21/20; ; 1; 19/20; 1; 21/20; 21/20; ; 1; 1; ; 19/20; 1; 1; 19/20; 1; 1; 19/20; 103/100; 39/40; 1; ; 1; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; 21/10; 11/5; ; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 119/50; 23/10; 23/10; ; 23/10; ; ; ; 
