META; english/premier-league/chelsea-v-crystal-palace; 2017-03-05 18:16:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-05 22:16:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 02:16:52 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 06:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 10:16:23 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 14:16:28 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 18:16:38 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 22:16:26 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 02:16:56 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 06:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 10:16:20 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 14:16:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 2/7; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 13; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 18:16:26 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-07 22:16:49 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Chelsea; ; ; 2/9; ; ; ; ; 1/5; 1/4; ; ; ; ; ; ; ; ; 2/9; ; ; 27/100; ; ; ; ; ; ; 
Draw; ; ; 9/2; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; 5; ; ; 26/5; ; ; ; ; ; ; 
Crystal Palace; ; ; 12; ; ; ; ; 14; 12; ; ; ; ; ; ; ; ; 11; ; ; 14; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-08 02:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
